"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","23,502.85","23,652.70","23,455.50","23,475.85","23,485.30","-","9.45","0.04","2,93,66,79,815","95,043.51","24,144.20","19,519.85","-0.36","8.97"
"FEDERALBNK","247.50","278.40","247.45","246.85","270.75","-","23.90","9.68","6,68,36,048","1,781.58","278.40","172.66","3.07","39.20"
"ANGELONE","2,588.00","2,766.70","2,580.00","2,525.40","2,740.50","-","215.10","8.52","55,82,743","1,516.73","3,285.00","1,941.00","8.68","10.20"
"ZENTEC","1,281.80","1,346.90","1,277.50","1,228.10","1,324.70","-","96.60","7.87","45,68,394","605.92","2,350.00","945.35","-2.62","-38.22"
"IFCI","57.25","62.99","57.05","56.10","60.30","-","4.20","7.49","25,10,31,832","1,532.80","74.50","36.20","26.66","14.95"
"INDIAMART","2,211.50","2,304.00","2,211.00","2,114.50","2,265.00","-","150.50","7.12","12,22,578","278.85","2,799.00","1,900.10","3.04","3.59"
"NETWEB","3,200.90","3,384.80","3,189.10","3,187.60","3,377.90","-","190.30","5.97","15,77,466","521.09","4,479.00","1,251.55","2.08","37.62"
"INFY","1,663.70","1,694.00","1,653.40","1,599.80","1,689.10","-","89.30","5.58","1,93,35,957","3,247.32","1,971.80","1,307.00","6.08","-13.33"
"OFSS","7,584.50","8,011.00","7,546.50","7,531.00","7,944.00","-","413.00","5.48","3,81,617","300.27","11,007.05","7,038.00","1.67","-24.56"
"TECHM","1,600.00","1,680.70","1,600.00","1,588.50","1,672.00","-","83.50","5.26","37,33,401","617.17","1,736.40","1,209.40","5.85","-0.33"
"HFCL","64.46","69.05","63.91","64.41","67.74","-","3.33","5.17","4,01,37,629","269.12","106.95","60.72","3.96","-30.01"
"SBFC","101.55","109.75","101.50","101.57","106.63","-","5.06","4.98","59,43,935","63.71","123.00","79.24","1.90","25.98"
"AUBANK","975.50","1,029.95","968.55","976.35","1,022.35","-","46.00","4.71","72,02,895","724.99","1,029.95","478.35","4.57","74.70"
"LTIM","6,030.50","6,370.00","6,030.50","6,030.50","6,300.00","-","269.50","4.47","8,72,154","548.21","6,380.00","3,802.00","1.48","8.06"
"RBLBANK","315.00","328.45","315.00","312.00","324.50","-","12.50","4.01","1,61,84,591","524.19","332.00","146.10","7.95","106.95"
"360ONE","1,190.00","1,236.20","1,187.00","1,149.20","1,193.90","-","44.70","3.89","43,35,885","524.38","1,273.80","790.50","5.67","0.36"
"HEXT","712.75","745.00","708.80","712.75","739.55","-","26.80","3.76","4,83,705","35.54","900.00","590.30","-3.01","-"
"SAGILITY","51.45","54.00","51.40","51.35","53.27","-","1.92","3.74","3,99,29,649","212.51","57.89","37.60","5.95","14.10"
"HINDPETRO","445.00","458.75","445.00","440.15","456.45","-","16.30","3.70","80,60,832","366.46","508.45","287.55","-1.60","26.06"
"BSOFT","421.70","441.00","421.00","419.60","433.25","-","13.65","3.25","16,36,452","71.25","564.25","331.00","1.64","-17.83"
"MPHASIS","2,805.50","2,929.90","2,805.50","2,788.80","2,875.00","-","86.20","3.09","11,93,508","346.57","3,078.40","2,044.55","0.82","3.84"
"ABSLAMC","818.40","850.50","811.25","810.40","835.00","-","24.60","3.04","4,76,619","39.91","908.00","556.45","8.08","9.19"
"COFORGE","1,700.00","1,735.80","1,696.00","1,681.60","1,732.00","-","50.40","3.00","34,48,276","595.07","1,994.00","1,194.01","-7.20","-79.82"
"JKCEMENT","5,655.00","5,924.00","5,655.00","5,712.00","5,874.50","-","162.50","2.84","1,16,850","68.46","7,565.50","4,218.90","4.64","32.02"
"BANKINDIA","153.50","157.58","153.45","152.87","157.20","-","4.33","2.83","1,76,59,016","275.78","157.58","90.51","12.89","63.67"
"PNB","128.68","132.79","128.65","128.68","132.30","-","3.62","2.81","3,46,96,416","456.95","132.79","85.46","13.10","34.72"
"SWANCORP","423.25","437.80","420.30","421.25","433.05","-","11.80","2.80","10,12,865","43.64","702.00","362.20","-5.68","-"
"NUVAMA","1,448.00","1,501.90","1,442.10","1,435.00","1,475.10","-","40.10","2.79","7,95,884","117.86","1,701.70","947.09","-79.49","-76.21"
"WIPRO","263.25","269.80","263.00","260.20","266.80","-","6.60","2.54","1,20,28,289","322.13","324.60","228.00","3.17","-8.61"
"JSL","801.15","815.90","792.70","794.10","813.85","-","19.75","2.49","7,45,507","60.39","884.00","496.60","1.65","32.23"
"HCLTECH","1,670.00","1,700.90","1,664.80","1,668.50","1,696.50","-","40.00","2.41","30,98,089","523.71","1,939.00","1,302.75","2.80","-6.99"
"TCS","3,219.40","3,221.90","3,171.00","3,192.50","3,209.00","-","73.50","2.34","42,93,470","1,374.18","4,313.90","2,866.60","0.05","-24.54"
"YESBANK","23.00","23.67","23.00","22.95","23.45","-","0.50","2.18","17,11,64,616","401.55","24.30","16.02","9.12","30.55"
"PERSISTENT","6,309.50","6,477.00","6,309.50","6,274.00","6,409.50","-","135.50","2.16","5,31,116","340.49","6,599.00","4,148.95","2.24","4.77"
"CYIENT","1,175.90","1,204.40","1,168.00","1,175.90","1,201.00","-","25.10","2.13","4,01,804","48.13","1,807.00","1,076.30","4.45","-30.05"
"PAYTM","1,313.30","1,353.80","1,312.40","1,313.30","1,341.00","-","27.70","2.11","24,65,849","330.59","1,381.80","651.50","4.77","56.28"
"HONAUT","33,665.00","34,300.00","33,320.00","33,550.00","34,250.00","-","700.00","2.09","2,828","9.54","42,100.00","31,025.00","-0.13","-16.93"
"CANBK","154.00","157.72","153.85","153.89","157.03","-","3.14","2.04","3,51,74,000","550.16","158.00","78.60","6.77","65.94"
"WOCKPHARMA","1,395.20","1,459.90","1,393.90","1,395.10","1,423.50","-","28.40","2.04","6,28,321","90.03","1,868.80","1,110.05","5.19","6.74"
"MANAPPURAM","306.85","316.75","306.05","309.00","315.20","-","6.20","2.01","54,58,689","170.79","321.60","168.83","10.76","74.43"
"NAM-INDIA","870.00","894.00","867.95","864.05","881.00","-","16.95","1.96","8,78,447","77.77","987.35","498.05","1.72","33.65"
"BPCL","358.00","367.75","358.00","356.90","363.75","-","6.85","1.92","62,43,090","227.10","388.15","234.01","-1.34","36.03"
