date,adj close,close,high,low,open,volume,ema_20,ema_50,ema_200,rsi_14,atr_14,trend
2024-01-16,1785.602294921875,1794.1500244140625,1820.0999755859373,1783.25,1814.9000244140625,298260,1794.1500244140625,1794.1500244140625,1794.1500244140625,,,SIDEWAYS
2024-01-17,1766.2449951171875,1774.699951171875,1803.25,1771.0,1789.050048828125,319628,1792.2976364862352,1793.3872764437808,1793.956491346976,,,DOWN
2024-01-18,1782.865478515625,1791.4000244140625,1798.0,1740.0,1775.0,876994,1792.212149622219,1793.309344991635,1793.9310538650566,,,DOWN
2024-01-19,1841.9326171875,1850.75,1859.0,1801.5999755859373,1806.949951171875,623395,1797.7871829915314,1795.5619196978455,1794.4964165131655,,,UP
2024-01-23,1765.9464111328125,1774.4000244140625,1838.800048828125,1765.0,1834.949951171875,1306351,1795.559834555582,1794.7320414514227,1794.2964524126771,,,UP
2024-01-24,1819.1417236328125,1827.8499755859373,1834.25,1772.199951171875,1779.800048828125,489460,1798.6350860822824,1796.0307839665015,1794.6303183148987,,,UP
2024-01-25,1791.47412109375,1800.050048828125,1833.0,1786.5,1829.5,512718,1798.7698444390294,1796.1884021963692,1794.6842459816971,,,UP
2024-01-29,1859.8468017578125,1868.75,1875.0,1810.0,1810.0,1046879,1805.4346211591217,1799.0339550514136,1795.4212186584964,,,UP
2024-01-30,1867.5098876953125,1876.449951171875,1889.949951171875,1863.25,1889.949951171875,773114,1812.197985922241,1802.0698764679023,1796.2274747034057,,,UP
2024-01-31,1821.6795654296875,1830.4000244140625,1884.0,1807.0999755859373,1842.0,1742853,1813.9315133976525,1803.1808626618692,1796.5675000736612,,,UP
2024-02-01,1880.199462890625,1889.199951171875,1905.0,1820.0,1834.0,1028119,1821.0999360428166,1806.554160250497,1797.4892160049867,,,UP
2024-02-02,1893.38623046875,1902.449951171875,1943.0,1889.9000244140625,1889.9000244140625,829998,1828.8475565312983,1810.3147795023158,1798.533601429533,,,UP
2024-02-05,1865.8680419921875,1874.800048828125,1919.8499755859373,1860.0,1910.0,814203,1833.2239843690913,1812.8436135935242,1799.2924715529023,,,UP
2024-02-06,1879.75146484375,1888.75,1904.949951171875,1874.800048828125,1893.949951171875,387406,1838.5121763339398,1815.8203346290722,1800.1825962140676,,56.8821323939732,UP
2024-02-07,1885.3248291015625,1894.3499755859373,1913.0,1886.300048828125,1895.0,265200,1843.8300619769873,1818.8999283920866,1801.1195850635393,60.12530721138165,56.157130650111604,UP
2024-02-08,1864.5244140625,1873.449951171875,1911.0,1869.5999755859373,1903.0,479678,1846.651003805072,1821.039144971686,1801.8392901989455,59.949631956108284,56.81070382254466,UP
2024-02-09,1843.6243896484373,1852.449951171875,1880.949951171875,1835.550048828125,1879.0,358812,1847.2032845066722,1822.270941293262,1802.3428788653428,56.09829140390407,55.91069684709823,UP
2024-02-12,1929.1649169921875,1938.4000244140625,1955.0,1833.550048828125,1852.449951171875,1545736,1855.888688307376,1826.8250229842738,1803.6966813086135,58.31358261804291,59.757123674665195,UP
2024-02-13,1890.6492919921875,1899.699951171875,1947.9000244140625,1874.6500244140625,1943.949951171875,484655,1860.0611895325665,1829.6828633053565,1804.6519377251636,62.79877635330444,58.86426653180805,UP
2024-02-14,1941.05810546875,1950.3499755859373,1954.949951171875,1880.0,1880.0,609990,1868.6601215376493,1834.414906924203,1806.1016694451714,62.58476204426139,59.785688127790195,UP
2024-02-15,1945.934814453125,1955.25,1966.0,1944.5999755859373,1954.949951171875,397001,1876.9067766293017,1839.1535380252149,1807.5857324357669,66.73135150158657,57.992832728794674,UP
2024-02-16,1959.4202880859373,1968.800048828125,1983.800048828125,1948.199951171875,1955.25,360551,1885.6585168387132,1844.2377149194467,1809.1898549869347,62.241535878792966,55.182128906250036,UP
2024-02-19,1957.330078125,1966.699951171875,1973.800048828125,1948.449951171875,1970.1500244140625,421390,1893.3767486799668,1849.040155556797,1810.7571196255908,61.19588004794982,55.085710797991105,UP
2024-02-20,1942.7003173828125,1952.0,1984.949951171875,1944.9000244140625,1966.699951171875,329238,1898.959915472351,1853.0777965153538,1812.162521420361,66.35727086697493,52.4535609654018,UP
2024-02-21,1921.302734375,1930.5,1970.0,1922.75,1966.0,649882,1901.963733046413,1856.1139613578891,1813.3400087694122,56.175243830231814,49.75713239397323,UP
2024-02-22,1955.7874755859373,1965.1500244140625,1969.949951171875,1925.0999755859373,1943.0,305171,1907.9814750814273,1860.3898853993078,1814.850556188762,58.8111359086566,49.11784144810271,UP
2024-02-23,2066.009765625,2075.89990234375,2095.0,1968.0,1981.0,2917191,1923.9737062492677,1868.8412586128154,1817.4480621206526,72.90952225995491,54.11784144810273,UP
2024-02-26,2074.51904296875,2084.449951171875,2124.449951171875,2042.050048828125,2094.0,2331714,1939.2571581466589,1877.2965014582687,1820.1047973350926,72.57206931449747,57.849984305245584,UP
2024-02-27,2085.267578125,2095.25,2134.550048828125,2075.0,2094.89990234375,1057268,1954.1136192755484,1885.8436974795131,1822.842560545689,72.89718247898557,60.196419852120584,UP
2024-02-28,2042.6715087890625,2052.449951171875,2116.75,2039.199951171875,2104.0,639894,1963.4789842180558,1892.3772760556842,1825.1272111986857,69.43116230675086,62.778564453125036,UP
2024-02-29,2059.242431640625,2069.10009765625,2090.0,2031.5,2052.5,2050782,1973.538137878836,1899.3075827851183,1827.554802108711,73.74245639719992,63.714285714285744,UP
2024-03-01,2063.720947265625,2073.60009765625,2106.199951171875,2066.050048828125,2086.5,388318,1983.067848333828,1906.1425833683,1830.0030140047065,68.03627581737024,57.907139369419674,UP
2024-03-04,2087.109130859375,2097.10009765625,2119.39990234375,2071.550048828125,2115.0,763233,1993.928062555011,1913.6311133403765,1832.6606964291002,77.4471577943993,56.09284319196432,UP
2024-03-05,2096.712646484375,2106.75,2143.800048828125,2088.0,2106.0,803395,2004.6730089783432,1921.204403013303,1835.3879531810494,74.54487077069382,54.724993024553605,UP
2024-03-06,2083.0283203125,2093.0,2111.0,2047.6500244140625,2111.0,477261,2013.085103361358,1927.9414852480754,1837.9512571294968,71.03373306412891,57.721418108258945,UP
2024-03-07,2090.243896484375,2100.25,2134.0,2080.050048828125,2080.050048828125,415811,2021.3865220888479,1934.6986819050137,1840.5611948695018,70.46549762017165,59.03212193080359,UP
2024-03-11,2090.990234375,2101.0,2124.949951171875,2077.300048828125,2100.25,801434,2028.9687580803861,1941.2203022224644,1843.1526257663227,70.99750286472032,60.624965122767875,UP
2024-03-12,2034.610107421875,2044.3499755859373,2109.699951171875,2035.550048828125,2102.0,479940,2030.4336359380577,1945.264603138679,1845.1545894461199,62.764332332137734,63.06067766462055,UP
2024-03-13,1991.6160888671875,2001.1500244140625,2083.25,1975.5999755859373,2049.050048828125,1066781,2027.64472055482,1947.456188286733,1846.7067828288857,59.21241503707314,67.37496512276789,UP
2024-03-14,2006.0469970703125,2015.6500244140625,2045.75,1975.550048828125,1982.25,563858,2026.5023685414144,1950.1304563701578,1848.3878101083403,56.950177981381344,69.18567766462056,UP
2024-03-15,2020.527587890625,2030.199951171875,2057.39990234375,1956.800048828125,2015.0,514531,2026.854519268125,1953.2704365584605,1850.1968861388234,41.445163896815664,67.0963832310268,UP
2024-03-18,1961.2115478515625,1970.5999755859373,2050.0,1944.449951171875,2035.25,1769550,2021.4969436793453,1953.950026324244,1851.3949268298395,32.107501673838414,68.74996512276788,UP
2024-03-19,1942.451416015625,1951.75,2022.0,1878.5999755859373,1979.9000244140625,2131586,2014.8543776146457,1953.8637507821168,1852.3934847718313,28.00428855300629,74.739249093192,UP
2024-03-20,1895.7747802734373,1904.8499755859373,1965.0,1895.8499755859373,1951.75,1106750,2004.377767897626,1951.9416419508939,1852.91543990431,27.656674490551268,74.1392473493304,UP
2024-03-21,1933.245361328125,1942.5,1950.0,1902.0,1914.5999755859373,390508,1998.4846471454712,1951.5713814822316,1853.8068285619786,31.981188721572536,73.3892473493304,UP
2024-03-22,1929.66259765625,1938.9000244140625,1956.75,1912.050048828125,1940.0,519482,1992.8099211710514,1951.0744655187739,1854.6535270281686,30.77908708489015,73.71425083705363,UP
2024-03-26,1983.4052734375,1992.9000244140625,1999.0,1925.800048828125,1925.800048828125,456184,1992.8185024322906,1952.7146835146677,1856.0291140668344,36.32185175226605,75.52497209821433,UP
2024-03-27,1988.58056640625,1998.0999755859373,2018.800048828125,1987.699951171875,2009.800048828125,327476,1993.321499875495,1954.4944988900118,1857.4427544799598,35.56912289303365,73.76068987165183,UP
2024-03-28,1981.76318359375,1991.25,2012.050048828125,1982.0,2010.0,379847,1993.1242141730668,1955.9358910904034,1858.7741698582688,36.233249387583605,71.38212367466522,UP
2024-04-01,2020.030029296875,2029.699951171875,2037.800048828125,1995.0,1998.199951171875,445828,1996.6076176967626,1958.8285993288926,1860.4749239011903,41.197742756344766,70.85355922154022,UP
2024-04-02,2041.92529296875,2051.699951171875,2061.0,2037.0,2050.0,490877,2001.8545065991543,1962.4706131266566,1862.3776604909483,44.15875860784224,69.68571254185272,UP
2024-04-03,2047.9464111328125,2057.75,2065.14990234375,2028.4000244140625,2051.699951171875,290457,2007.1778869230443,1966.2070596707094,1864.3216638691479,51.80398927594911,67.01428222656254,UP
2024-04-04,2052.673828125,2062.5,2100.0,2051.050048828125,2094.0,379027,2012.44665959704,1969.9832534091129,1866.2935876117435,59.21309612194205,62.82141985212057,UP
2024-04-05,2032.5699462890625,2042.300048828125,2067.949951171875,2035.949951171875,2062.5,301755,2015.2898395238099,1972.819206170643,1868.0448956835485,53.93474704051843,60.092851911272355,UP
2024-04-08,2015.1534423828125,2024.800048828125,2058.64990234375,2001.0999755859373,2058.64990234375,670678,2016.1955737432686,1974.8576705885835,1869.6046484511562,49.2096158285526,57.01785714285719,UP
2024-04-09,1987.53564453125,1997.050048828125,2043.0999755859373,1990.0,2042.9000244140625,173393,2014.372190418017,1975.7279599313106,1870.872761887743,54.26958574107846,53.271423339843786,UP
2024-04-10,1985.744140625,1995.25,2014.699951171875,1990.0,2007.949951171875,180200,2012.5510294258247,1976.4935301300827,1872.1103463465715,57.43081777530884,44.792846679687514,UP
2024-04-12,1954.891845703125,1964.25,2022.550048828125,1960.050048828125,1990.1500244140625,413279,2007.95093138527,1976.0133916936088,1873.0271588207352,60.72977603531578,44.317844935825896,UP
2024-04-15,1960.1666259765625,1969.550048828125,1976.8499755859373,1936.050048828125,1940.050048828125,570103,2004.2937044750656,1975.7599272675113,1873.987585586978,55.53283989185703,43.80355398995534,UP
2024-04-16,1977.8818359375,1987.3499755859373,2003.75,1945.0,1945.0,423415,2002.6800160094344,1976.214438966273,1875.1155695670673,59.36593262414693,44.807128906249986,UP
2024-04-18,1977.981201171875,1987.449951171875,2008.0,1975.050048828125,1990.0,500791,2001.2295336439527,1976.6550472880613,1876.2333246079113,48.66908998987069,41.932128906249986,UP
2024-04-19,1934.3900146484373,1943.6500244140625,1977.449951171875,1938.25,1975.0,494224,1995.7457708601537,1975.3607326655515,1876.904137541306,38.81241340702539,43.224975585937486,UP
2024-04-22,1952.3538818359373,1961.699951171875,1981.0,1949.9000244140625,1949.9000244140625,332780,1992.5033118422225,1974.8250157442308,1877.7478769804163,44.19562531890324,43.746398925781236,UP
2024-04-23,1949.268798828125,1958.5999755859373,1978.300048828125,1954.0,1968.050048828125,507115,1989.2744226749571,1974.1887396595919,1878.5523754740036,33.781927231112334,42.15711321149552,UP
2024-04-24,1979.37451171875,1988.8499755859373,1995.0999755859373,1958.0,1966.0,165710,1989.2339991426695,1974.7636900880761,1879.6498640323314,36.18377164005837,42.571393694196395,UP
2024-04-25,2001.07080078125,2010.6500244140625,2032.699951171875,1986.0,2006.0,689666,1991.273620597088,1976.1709973165464,1880.9533482152342,40.3166100568541,43.282113211495506,UP
2024-04-26,2030.0321044921875,2039.75,2043.199951171875,1985.5,2016.949951171875,351693,1995.8904186354607,1978.664291539427,1882.5334144021472,45.74845512846251,43.907113211495506,UP
2024-04-29,2045.7071533203125,2055.5,2089.0,2040.949951171875,2057.0,639029,2001.5675216225598,1981.6774565770966,1884.2544749553597,52.508543998693455,45.13925606863836,UP
2024-04-30,2108.009033203125,2118.10009765625,2149.39990234375,2023.0,2023.0,1100749,2012.665862197197,1987.0273640703967,1886.5812970717866,65.13628546555056,50.05711146763388,UP
2024-05-02,2053.07177734375,2062.89990234375,2142.0,2055.35009765625,2120.0,463442,2017.4500564968685,1990.0027577281755,1888.3357110545924,59.80929908795531,52.453534807477645,UP
2024-05-03,2059.640625,2069.5,2083.89990234375,2044.0999755859373,2078.949951171875,298394,2022.4071939733572,1993.1202966407961,1890.1383407953429,60.90467871987056,53.532104492187486,UP
2024-05-06,2099.449951171875,2109.5,2116.699951171875,2060.0,2063.699951171875,445527,2030.7017469282755,1997.6842065764513,1892.3210438720062,70.782646847587,53.117815290178555,UP
2024-05-07,2058.74462890625,2068.60009765625,2131.0,2031.050048828125,2114.5,386392,2034.311113664273,2000.4652219129139,1894.0750643076703,62.861970687911516,57.34281703404018,UP
2024-05-08,2079.29638671875,2089.25,2128.0,2050.35009765625,2060.60009765625,614527,2039.5433885533898,2003.9469779163292,1896.017103468788,63.1348308843221,58.69281005859375,UP
2024-05-09,2062.178466796875,2072.050048828125,2108.0,2060.300048828125,2097.89990234375,295120,2042.6392609605075,2006.617686579537,1897.7686750644034,60.4444565007716,59.74638148716518,UP
2024-05-10,2148.36572265625,2158.64990234375,2164.89990234375,2060.0,2065.25,1055032,2053.687893473197,2012.579734256565,1900.3645081716606,74.00624308788326,63.724949428013396,UP
2024-05-13,2204.99462890625,2215.550048828125,2228.0,2119.199951171875,2174.89990234375,1447510,2069.103336840333,2020.539354435842,1903.5006827055558,76.08137483262837,68.82852608816964,UP
2024-05-14,2201.013671875,2211.550048828125,2243.300048828125,2200.550048828125,2225.949951171875,733542,2082.66969036298,2028.029969902206,1906.565850527671,75.94092755377991,70.14637974330357,UP
2024-05-15,2201.959228515625,2212.5,2237.5,2181.60009765625,2214.050048828125,532249,2095.0344817569817,2035.2640887295704,1909.609971417943,74.40261482131656,71.4892316545759,UP
2024-05-16,2262.220703125,2273.050048828125,2279.0,2209.89990234375,2210.050048828125,763037,2111.9883452875665,2044.5890283412784,1913.2262905961538,76.39838631437397,73.08924211774556,UP
2024-05-17,2292.028076171875,2303.0,2352.0,2266.39990234375,2290.0,1246909,2130.1799314506557,2054.7227919357383,1917.1046359633563,76.43868116520547,75.08210972377233,UP
2024-05-21,2068.299072265625,2078.199951171875,2204.89990234375,2061.050048828125,2200.0,2005808,2125.229457138391,2055.6434648469594,1918.7075744231424,51.605598137499946,88.84639195033483,UP
2024-05-22,2095.4189453125,2105.449951171875,2125.0,2078.300048828125,2086.25,996545,2123.3456946653896,2057.596660389113,1920.56570752512,49.05813822019297,83.1606881277902,UP
2024-05-23,2095.17041015625,2105.199951171875,2133.449951171875,2091.5,2115.0,561757,2121.6175286183884,2059.463456106084,1922.4028641783216,53.430105325759136,79.96783447265626,UP
2024-05-24,2138.761474609375,2149.0,2165.300048828125,2112.35009765625,2118.800048828125,891219,2124.225383035685,2062.974693121532,1924.6575620471942,56.0798427462057,81.4178466796875,UP
2024-05-27,2163.891357421875,2174.25,2202.35009765625,2140.199951171875,2166.949951171875,1501537,2128.9896322703817,2067.3384306461776,1927.141068892496,55.06611531097042,81.80714634486607,UP
2024-05-28,2138.413330078125,2148.64990234375,2199.0,2141.0,2175.699951171875,428424,2130.8620389440357,2070.5271158107885,1929.3451368870358,56.41681801102204,78.81072126116071,UP
2024-05-29,2103.97802734375,2114.050048828125,2145.0,2106.5,2142.89990234375,287874,2129.2608970282345,2072.233897497743,1931.1829967073452,51.94449198110734,76.27500697544643,UP
2024-05-30,2091.5380859375,2101.550048828125,2123.0,2088.550048828125,2115.0,325338,2126.621768628224,2073.3835504910912,1932.8781912558109,52.3301737756714,75.32857840401786,UP
2024-05-31,2086.8603515625,2096.85009765625,2133.89990234375,2070.0,2120.0,1720844,2123.7863713927977,2074.303807242666,1934.5097525135268,44.393050831389274,72.40000697544643,UP
2024-06-03,2135.77587890625,2146.0,2179.050048828125,2118.75,2148.0,756841,2125.9019550696744,2077.1154226449144,1936.6141330855316,43.5998833552529,70.5,UP
2024-06-04,2002.5137939453125,2012.0999755859373,2142.050048828125,1931.4000244140625,2142.050048828125,871166,2115.0636713093186,2074.565797270053,1937.3652359959835,35.1875150831429,82.77499825613839,UP
2024-06-05,2106.21728515625,2116.300048828125,2127.699951171875,1986.050048828125,2020.0,636073,2115.181421549205,2076.202434586056,1939.1456818948109,43.805540813143914,88.89999825613839,UP
2024-06-06,2139.06005859375,2149.300048828125,2184.0,2110.5,2127.949951171875,465552,2118.430814623388,2079.069007693588,1941.2367701230032,41.738433268713784,89.21427699497768,UP
2024-06-07,2148.51513671875,2158.800048828125,2170.0,2144.800048828125,2155.0,408587,2122.2755035952678,2082.19571518906,1943.4015788663378,40.10295462101065,84.89998081752232,UP
2024-06-10,2150.455810546875,2160.75,2185.0,2114.64990234375,2180.0,1119452,2125.9397413480997,2085.2762753777242,1945.5642497233891,58.162767207656444,72.64284842354911,UP
2024-06-11,2184.393310546875,2194.85009765625,2229.550048828125,2150.0,2151.050048828125,664660,2132.502632425066,2089.573288016098,1948.0447059217263,58.72196551067072,74.98213413783482,UP
2024-06-12,2215.842529296875,2226.449951171875,2257.800048828125,2200.050048828125,2207.0,706912,2141.4499961152383,2094.941000296717,1950.8149073670015,61.147378197879426,76.48213413783482,UP
2024-06-13,2225.54638671875,2236.199951171875,2248.949951171875,2222.199951171875,2240.5,292695,2150.4738013587275,2100.4805669977036,1953.6545595441644,58.55237196739682,74.09998430524554,UP
2024-06-14,2258.637939453125,2269.449951171875,2291.949951171875,2242.449951171875,2250.0,658492,2161.804863245694,2107.106817357475,1956.7968022469279,59.19273726158796,73.64283098493304,UP
