date,adj close,close,high,low,open,volume,ema_20,ema_50,ema_200,rsi_14,atr_14,trend
2024-01-16,864.8751831054688,873.2000122070312,919.4000244140624,863.0,881.75,4193862,873.2000122070312,873.2000122070312,873.2000122070312,,,SIDEWAYS
2024-01-17,867.2275390625,875.5750122070312,893.2000122070312,856.0250244140625,866.0999755859375,1301886,873.4262026832217,873.2931494619332,873.2236440478273,,,UP
2024-01-18,850.4639282226562,858.6500244140625,885.0,828.0,876.4500122070312,1530266,872.0189476099686,872.7189092639776,873.0786329071929,,,DOWN
2024-01-19,853.0143432617188,861.2249755859375,872.6500244140625,855.625,865.0,768124,870.9909502743465,872.2681667667996,872.9606860681755,,,DOWN
2024-01-23,826.8660278320312,834.8250122070312,870.5,825.5499877929688,870.5,1309698,867.5465752203165,870.7998077644557,872.5812266267711,,,DOWN
2024-01-24,842.7382202148438,850.8499755859375,877.4500122070312,812.625,834.5,2778372,865.9564228741851,870.0174614045138,872.364995273131,,,DOWN
2024-01-25,826.5689086914062,834.5250244140625,861.0250244140625,827.5,854.0,1220570,862.9629563541735,868.6256011303784,871.9884781501552,,,DOWN
2024-01-29,829.5403442382812,837.5250244140625,845.2000122070312,823.0499877929688,841.75,781790,860.540296169401,867.405970670915,871.6455582124827,,,DOWN
2024-01-30,843.035400390625,851.1500244140625,859.25,825.0,839.0,1798842,859.6459845736545,866.768482582411,871.441622552797,,,DOWN
2024-01-31,845.3878173828125,853.5250244140625,861.5,845.6500244140625,851.6500244140625,844308,859.0630359870266,866.2491312816915,871.2633479444514,,,DOWN
2024-02-01,843.9020385742188,852.0250244140625,864.0,837.5,856.625,847606,858.3927491705539,865.6913231692355,871.0719218396715,,,DOWN
2024-02-02,871.313232421875,879.7000122070312,915.0,853.5,855.0,3858258,860.422012316885,866.2406835236588,871.1577734851179,,,DOWN
2024-02-05,872.5760498046875,880.9749755859375,907.9749755859376,873.0250244140625,885.0,1155094,862.379437390128,866.8184988986502,871.2554570881111,,,DOWN
2024-02-06,867.945556640625,876.2999877929688,894.9500122070312,867.5,879.5999755859375,957002,863.7052040951605,867.1903219925451,871.3056514234829,,38.216073172433035,DOWN
2024-02-07,868.985595703125,877.3499755859375,898.0,874.5,882.5,629160,865.0047061419012,867.5887397805213,871.3657939524626,51.52797172781506,35.86607142857144,DOWN
2024-02-08,947.2077026367188,956.3250122070312,969.4500122070312,875.0499877929688,875.5,8941176,873.7018781481041,871.0685936011688,872.2111593082295,69.00896505072762,39.95357404436385,SIDEWAYS
2024-02-09,910.5109252929688,919.2750244140624,963.4500122070312,903.0250244140624,959.9000244140624,3044030,878.0421777924812,872.9590418683412,872.6794564734618,63.036244981869864,40.19821602957591,UP
2024-02-12,800.3215942382812,808.0250244140625,931.4249877929688,795.0,927.5,5064946,871.3738774707269,870.4126098113106,872.0361287912787,42.20398918253277,48.726784842354924,SIDEWAYS
2024-02-13,784.9692993164062,792.5250244140625,832.3499755859375,787.9500122070312,816.0,2578926,863.8644628939019,867.3581946976931,871.2449735238437,43.596729489970954,48.687495640346,DOWN
2024-02-14,806.8338012695312,814.5999755859375,822.4749755859375,778.1749877929688,787.0499877929688,2128652,859.17260695981,865.2892449286046,870.6813417035661,44.611265677522276,47.221422467912966,DOWN
2024-02-15,824.1422729492188,832.0750122070312,840.0,814.0499877929688,820.2999877929688,1466968,856.5918836500215,863.9867259983469,870.2971991215111,49.63703516294762,46.68035016741073,DOWN
2024-02-16,846.7991333007812,854.9500122070312,897.0,838.375,840.0250244140625,4472720,856.4355149411653,863.632345065354,870.1444907940038,52.43791406351005,49.735704694475466,DOWN
2024-02-19,873.3436889648438,881.75,890.0,860.1749877929688,863.5,1736502,858.846418280102,864.342841337301,870.2599684975461,54.128994958071786,49.792846679687514,DOWN
2024-02-20,867.4751586914062,875.8250122070312,881.0250244140625,860.0250244140625,880.0,961972,860.4634272255238,864.7931225478787,870.3153420667948,52.98048555019673,50.212489536830375,DOWN
2024-02-21,841.9212036132812,850.0250244140625,879.2999877929688,838.5,876.5,1629028,859.4692936244322,864.2139814445918,870.1134483588074,49.74899592240934,51.23391723632814,DOWN
2024-02-22,864.9247436523438,873.25,882.7750244140625,831.9749755859375,853.0,1935668,860.7817418506768,864.5683351134314,870.144657827874,49.181366416323556,50.364279610770105,DOWN
2024-02-23,885.10546875,893.625,909.4749755859376,876.5,877.625,2641122,863.9096711982314,865.7078121678067,870.3782930733678,51.53129483805473,50.45535278320314,DOWN
