date,adj close,close,high,low,open,volume,ema_20,ema_50,ema_200,rsi_14,atr_14,trend
2024-01-16,1000.8619384765624,1017.7999877929688,1043.449951171875,1010.7000122070312,1039.949951171875,70822,1017.7999877929688,1017.7999877929688,1017.7999877929688,,,SIDEWAYS
2024-01-17,969.34521484375,985.75,1024.949951171875,976.5,1017.0499877929688,125524,1014.7476080031622,1016.5431255265778,1017.4810824417949,,,DOWN
2024-01-18,987.389892578125,1004.0999755859376,1007.9000244140624,973.0499877929688,993.0,86217,1013.7335477729503,1016.0551588622391,1017.3479370999456,,,DOWN
2024-01-19,1013.8914794921876,1031.050048828125,1049.0,1005.0999755859376,1013.9500122070312,250374,1015.3827383496335,1016.643193762862,1017.4842765201265,,,DOWN
2024-01-23,975.5404663085938,992.0499877929688,1026.199951171875,969.0999755859376,1026.1500244140625,71039,1013.1605716299512,1015.6787543130623,1017.2311990203538,,,DOWN
2024-01-24,1002.0912475585938,1019.0499877929688,1020.0,965.0999755859376,989.9500122070312,188005,1013.7214684073814,1015.8109595475685,1017.2492964210763,,,DOWN
2024-01-25,982.4240112304688,999.0499877929688,1019.0499877929688,992.5,1019.0,26838,1012.324184539342,1015.1536665375842,1017.0682087730355,,,DOWN
2024-01-29,989.1107788085938,1005.8499755859376,1023.0,995.0,999.0499877929688,48613,1011.7075932104464,1014.7888159120295,1016.9565845622186,,,DOWN
2024-01-30,990.9299926757812,1007.7000122070312,1013.9000244140624,996.0999755859376,1000.0,26774,1011.3259188291687,1014.5108236098727,1016.8644793646546,,,DOWN
2024-01-31,1022.643310546875,1039.949951171875,1052.050048828125,1004.75,1007.7000122070312,83307,1014.0520171475217,1015.5084364554414,1017.0941855517912,,,DOWN
2024-02-01,1011.482177734375,1028.5999755859375,1042.050048828125,987.7999877929688,1042.0,116475,1015.4375369987995,1016.0218301468334,1017.2086710247678,,,DOWN
2024-02-02,998.99365234375,1015.9000244140624,1037.050048828125,1011.5,1028.5999755859375,40908,1015.4815834193007,1016.0170534514306,1017.1956496654573,,,DOWN
2024-02-05,1002.3861083984376,1019.3499755859376,1029.300048828125,1004.1500244140624,1016.0,49404,1015.8500017208852,1016.1477562802347,1017.2170857442682,,,DOWN
2024-02-06,984.2922973632812,1000.9500122070312,1026.199951171875,993.0,1017.8499755859376,42749,1014.4309551005182,1015.5517663165797,1017.055224316037,,38.257158551897284,DOWN
2024-02-07,985.3740234375,1002.0499877929688,1033.199951171875,995.5,1019.9000244140624,30503,1013.2518153569421,1015.0222848058498,1016.9059184799866,46.86567011897064,38.61073085239951,DOWN
2024-02-08,980.5556030273438,997.1500244140624,1010.0,988.0,1007.0999755859376,29987,1011.7183114576202,1014.3214118493091,1016.7093424196291,52.543514472504434,36.72144862583701,DOWN
2024-02-09,981.7356567382812,998.3499755859376,1009.9500122070312,976.0999755859376,1003.9000244140624,30412,1010.445136612698,1013.6950810154515,1016.5266621526273,48.61077440243304,36.650020054408444,DOWN
2024-02-12,963.150146484375,979.4500122070312,1005.5,975.0,1005.5,52228,1007.4932200026344,1012.3521371406116,1016.1577402626214,37.02863010096137,35.621446881975416,DOWN
2024-02-13,961.380126953125,977.6500244140624,986.0,965.0499877929688,984.3499755859376,24454,1004.6510108989609,1010.9912699748646,1015.7745789108944,45.54731140869222,32.69287109374998,DOWN
2024-02-14,956.9550170898438,973.1500244140624,981.0999755859376,955.1500244140624,955.1500244140624,28574,1001.6509169480181,1009.5072995607155,1015.350453990528,33.512902259753574,30.625008719308035,DOWN
2024-02-15,968.017822265625,984.4000244140624,995.0,974.1500244140624,990.0,31945,1000.007974801927,1008.5227005353565,1015.0424895171303,44.38482056925439,30.289293561662955,DOWN
2024-02-16,966.1002197265624,982.4500122070312,996.2999877929688,978.2999877929688,995.0,18160,998.3357878881275,1007.5002421695399,1014.7181862603134,40.68470350977368,29.57500784737724,DOWN
2024-02-19,962.2160034179688,978.5,994.5,973.25,987.0,21619,996.4466652321153,1006.3629777707345,1014.3578062975242,38.56691732413876,29.821432931082615,DOWN
2024-02-20,958.282470703125,974.5,984.9500122070312,970.0,978.5,18467,994.3565066385805,1005.1134492307057,1013.9612112099868,17.09394470548409,27.510716029575917,DOWN
2024-02-21,953.21826171875,969.3499755859376,981.2000122070312,964.2999877929688,981.0,20664,991.9749322526146,1003.7109600681658,1013.5173183182053,18.23047982594659,24.842856270926365,DOWN
2024-02-22,956.5616455078124,972.75,984.1500244140624,965.8499755859376,974.2000122070312,20971,990.1439863237941,1002.496804771375,1013.1116733598153,24.30011181925147,24.324999128069205,DOWN
2024-02-23,979.326416015625,995.9000244140624,1001.0,974.75,979.25,45234,990.6921804276293,1002.2381075024608,1012.9404131713004,38.687904840419186,24.54642595563616,DOWN
2024-02-26,960.5443115234376,976.7999877929688,999.9500122070312,971.0499877929688,999.0,21108,989.3691144624236,1001.24053418052,1012.5808069486305,38.428351670205366,24.239288330078125,DOWN
2024-02-27,987.3408203125,1004.0499877929688,1027.0,968.75,983.2999877929688,218018,990.7672928748564,1001.3507088319885,1012.4959231759374,50.76628352490421,25.707148960658483,DOWN
2024-02-28,960.8392333984376,977.0999755859376,1006.9000244140624,972.5499877929688,1006.9000244140624,46730,989.465643609245,1000.3996996850846,1012.1437246924548,43.42837023581855,26.589294433593743,DOWN
2024-02-29,938.2219848632812,954.0999755859376,982.0,945.5499877929688,982.0,36760,986.0974847498825,998.5840242302161,1011.5661749501014,37.31001571124906,26.775006975446427,DOWN
2024-03-01,946.2363891601562,962.25,973.1500244140624,951.5499877929688,960.7000122070312,27753,983.8262957260841,997.1591605349136,1011.0754667416428,44.74327765186489,26.139295305524545,DOWN
2024-03-04,949.9240112304688,966.0,976.7000122070312,962.0,975.8499755859376,25832,982.128553275981,995.9372326707993,1010.6269546347608,46.48142180982418,25.692866734095976,DOWN
2024-03-05,944.3680419921876,960.3499755859376,975.0499877929688,951.2000122070312,974.2999877929688,36459,980.0544030197864,994.5416539615891,1010.1266861865138,46.16075769913479,25.542868477957565,DOWN
2024-03-06,933.1602783203124,945.0,960.7999877929688,938.0,960.3499755859376,25754,976.7158884464734,992.598844002311,1009.4786594582897,38.46604654819376,25.610726492745503,DOWN
2024-03-07,934.8389892578124,946.7000122070312,953.9500122070312,936.8499755859376,951.2999877929688,15312,973.8572335665265,990.7988898142609,1008.8539963015609,39.51921308208796,25.54644339425219,DOWN
2024-03-11,904.4741821289062,915.9500122070312,960.0,907.0999755859376,960.0,40140,968.3422601037173,987.8636397120166,1007.9295785493765,34.152536737814955,27.807159423828075,DOWN
2024-03-12,900.9192504882812,912.3499755859376,920.5499877929688,902.6500244140624,915.9500122070312,49676,963.0096615782145,984.9023195502097,1006.9785377238697,34.22189317572153,28.017870221819155,DOWN
2024-03-13,852.3357543945312,863.1500244140625,918.4500122070312,855.5,918.4500122070312,71137,953.4992199435333,980.127719740949,1005.5474082382001,27.96682626972047,31.307155064174065,DOWN
2024-03-14,861.1242065429688,872.0499877929688,881.4000244140625,859.0999755859375,861.8499755859375,33349,945.7421502149081,975.8893773116165,1004.2190756964566,29.574039092698357,31.592869349888367,DOWN
2024-03-15,856.9768676757812,867.8499755859375,890.0,860.25,880.0,24313,938.3238478692917,971.6525380282566,1002.8621692276952,21.863322049901,31.700012207031225,DOWN
2024-03-18,883.7866821289062,895.0,937.7000122070312,872.2000122070312,872.2000122070312,693700,934.1977671198354,968.6465561447956,1001.7889138124943,32.64007320072608,34.62501307896203,DOWN
2024-03-19,877.614990234375,888.75,898.1500244140625,881.0,891.0,36737,929.8694083465177,965.5133578646075,1000.6641485009272,23.136074529999476,31.68930053710935,DOWN
2024-03-20,869.172119140625,880.2000122070312,898.0,860.9500122070312,892.75,51722,925.1389896665667,962.1677364662712,999.4655003785999,25.30582126655092,31.882154192243288,DOWN
2024-03-21,883.5892333984375,894.7999877929688,906.9000244140624,885.0,885.0,24115,922.2495609167001,959.5258639692789,998.4240524921757,34.21192980631571,31.185725620814708,DOWN
2024-03-22,876.6769409179688,887.7999877929688,899.0,885.0,898.0,30809,918.9686491906305,956.7130845113844,997.3233155299947,30.056247839734368,30.642865862165163,DOWN
2024-03-26,855.5450439453125,866.4000244140625,892.25,862.7999877929688,890.0,61376,913.9621134976239,953.1713958801168,996.0205962154083,25.624079468220188,31.69643729073659,DOWN
2024-03-27,849.6694946289062,860.4500122070312,882.0,854.0,871.0,59630,908.8657228985198,949.5352631870546,994.671635180499,25.58650901730671,31.99286760602677,DOWN
2024-03-28,843.5471801757812,854.25,874.6500244140625,832.4000244140625,860.4500122070312,53995,903.6642254796133,945.798586199327,993.2744049796981,26.78433802211694,33.382154192243284,DOWN
2024-04-01,876.9237060546875,888.0499877929688,899.9000244140625,855.0999755859375,855.0999755859375,69925,902.1771552237424,943.5339352814306,992.2273958534621,37.112712965958174,35.42143903459821,DOWN
2024-04-02,890.8471069335938,902.1500244140624,914.0,887.7999877929688,887.7999877929688,53084,902.1745713371063,941.9110368160436,991.3311036003338,46.72830958055322,33.514295305524556,DOWN
2024-04-03,900.8699340820312,912.2999877929688,917.3499755859376,896.9000244140625,903.8499755859376,23301,903.1388967138552,940.7498192072957,990.544724338569,49.98850590521397,33.696437290736604,DOWN
2024-04-04,930.5433959960938,942.3499755859376,948.0,905.7999877929688,918.4500122070312,82038,906.873285177863,940.8125704378307,990.0651745997369,69.96973787806878,32.21429443359375,DOWN
2024-04-05,929.062255859375,940.8499755859376,955.0,934.7999877929688,949.0999755859376,24860,910.1091604548225,940.814037306384,989.5754711269628,68.01990596939291,32.06429181780134,DOWN
2024-04-08,922.1005859375,933.7999877929688,947.5499877929688,926.0499877929688,940.8499755859376,20349,912.3654297251221,940.538976541152,989.0204911932913,67.01936335035386,31.475006103515625,DOWN
2024-04-09,942.541259765625,954.5,961.0,931.0,942.7000122070312,64391,916.3782459417772,941.0864676571853,988.6770037187313,65.88361539429116,28.628574916294642,DOWN
2024-04-10,961.8463134765624,974.0499877929688,988.4500122070312,950.0,954.5,143547,921.8707927847479,942.3791547213336,988.5314612717088,71.2612223649216,30.15000261579241,DOWN
2024-04-12,944.0718383789062,956.0499877929688,990.0,949.0,974.0499877929688,88744,925.1259542141023,942.9152658221822,988.2082625306269,68.05522543061689,30.432146344866073,DOWN
2024-04-15,911.8802490234376,923.4500122070312,938.9000244140624,914.5999755859376,920.0,42800,924.9663406896194,942.1519225431566,987.5639018308898,56.28152458134498,31.4857177734375,DOWN
2024-04-16,906.49853515625,918.0,940.0499877929688,916.2000122070312,927.0,25982,924.3028796715604,941.2047883257779,986.8717237032192,56.66667115784935,32.18928745814732,DOWN
2024-04-18,914.4476318359376,926.0499877929688,940.0,910.0499877929688,910.0499877929688,32207,924.4692709212183,940.6104824225305,986.2665323011272,63.99248736272813,32.225001743861604,DOWN
2024-04-19,899.7837524414062,911.2000122070312,928.0,908.25,928.0,23158,923.2055319960575,939.4571306493737,985.5196017529272,61.42761016430157,31.635716029575892,DOWN
2024-04-22,906.94287109375,918.4500122070312,929.0999755859376,915.0,915.75,19513,922.7526253494837,938.6333220830072,984.852242652968,64.38817498794205,29.896427699497774,DOWN
2024-04-23,899.0431518554688,910.4500122070312,924.7000122070312,908.4000244140624,924.7000122070312,18924,921.5809479073453,937.5280942447337,984.1119219520135,55.676642860987656,27.799996512276802,DOWN
2024-04-24,898.253173828125,909.6500244140624,916.75,906.25,916.75,40718,920.4446694794135,936.4348366043153,983.3710075486509,52.03804483035201,26.678567068917427,DOWN
2024-04-25,892.5752563476562,903.9000244140624,918.5499877929688,900.0,915.9000244140624,25766,918.8689889969991,935.1589616164622,982.5802514975605,47.66147901575663,26.542855398995545,DOWN
2024-04-26,944.5654907226562,956.5499877929688,987.0,905.0499877929688,905.0499877929688,323104,922.4576555489962,935.99782538809,982.3212438985099,53.51137980278566,29.464281354631712,DOWN
2024-04-29,945.552978515625,957.5499877929688,975.4500122070312,952.0,957.0499877929688,57453,925.7997824293744,936.843008227497,982.0747637382558,54.139816882327324,29.69642421177457,DOWN
2024-04-30,953.7984008789062,965.9000244140624,970.0,952.75,957.5,49732,929.6188530945828,937.9824990583427,981.9138210584132,57.90641533804914,29.392852783203143,DOWN
2024-05-02,952.3172607421876,964.4000244140624,982.0,960.0999755859376,966.0,53503,932.9313456012,939.0184804448415,981.7395544251361,52.693152437189845,28.814283098493313,DOWN
2024-05-03,954.2921142578124,966.4000244140624,975.0,947.0499877929688,965.0,46541,936.1188388214725,940.0922664828503,981.5869222857226,47.699258289495056,28.064283098493313,DOWN
2024-05-06,1002.5794677734376,1015.2999877929688,1029.5,968.7999877929688,986.6500244140624,443072,943.6599006282817,943.0415888871687,981.9223756738544,65.02663691323869,29.642852783203143,SIDEWAYS
2024-05-07,962.9818725585938,975.2000122070312,984.9000244140624,938.2000122070312,955.0,595734,946.6637207786388,944.3027035271633,981.8554864851297,62.643543780703986,32.18927873883931,SIDEWAYS
2024-05-08,987.2243041992188,999.75,1004.4000244140624,975.0499877929688,975.0499877929688,164158,951.7195568949588,946.4771073104118,982.0335413459742,68.26816639106492,32.582140241350466,SIDEWAYS
2024-05-09,978.8801879882812,991.2999877929688,1029.949951171875,976.2999877929688,1004.6500244140624,161047,955.4891217423884,948.2348673293357,982.125744793208,64.55499184200721,34.27499389648439,SIDEWAYS
2024-05-10,963.0806274414062,975.2999877929688,998.0,959.4000244140624,988.0499877929688,57231,957.3758708900627,949.2962446024194,982.0578268131062,64.2254763479888,35.62142072405136,SIDEWAYS
2024-05-13,963.3275146484376,975.5499877929688,983.4000244140624,970.0999755859376,980.2000122070312,34020,959.10673916653,950.3258031589115,981.9930721959904,63.07833136592978,35.292855398995535,SIDEWAYS
2024-05-14,964.3150024414062,976.5499877929688,987.0,976.0,980.0,29463,960.7680009404766,951.3542025563255,981.9389121521792,65.6412679834243,34.94642857142856,SIDEWAYS
2024-05-15,981.743896484375,994.2000122070312,1008.9500122070312,972.0,984.5999755859376,61220,963.9520020134818,953.034430385765,982.06091314775,68.52947652078956,36.83571515764508,SIDEWAYS
