date,adj close,close,high,low,open,volume,ema_20,ema_50,ema_200,rsi_14,atr_14,trend
2024-01-16,872.7442626953125,892.5499877929688,900.0,850.0,856.0,12525303,892.5499877929688,892.5499877929688,892.5499877929688,,,SIDEWAYS
2024-01-17,867.8063354492188,887.5,918.4500122070312,874.0,882.0,9015612,892.0690365745908,892.3519490559895,892.4997391582128,,,DOWN
2024-01-18,881.2023315429688,901.2000122070312,907.0,867.0499877929688,890.0,4546830,892.9386533014899,892.6989319246578,892.5863090392957,,,UP
2024-01-19,881.8868408203125,901.9000244140624,915.0,898.0,909.0,3328849,893.792117216973,893.0597590811051,892.6789828241193,,,UP
2024-01-23,855.8281860351562,875.25,950.0499877929688,869.2000122070312,943.9500122070312,5296256,892.0262012915471,892.361337156356,892.5055601094515,,,DOWN
2024-01-24,887.0692138671875,907.2000122070312,924.0,866.0,878.2000122070312,3503761,893.4713261406408,892.9432459818727,892.6517735631588,,,UP
2024-01-25,883.4513549804688,903.5,923.9000244140624,899.0999755859375,915.0,2629355,894.4264379367703,893.3572363355247,892.7597161147692,,,UP
2024-01-29,895.2828369140625,915.5999755859376,931.9000244140624,903.5999755859376,910.0,3792964,896.442965331929,894.2295006198547,892.9869823781639,,,UP
2024-01-30,912.198974609375,932.9000244140624,955.0,917.5499877929688,922.5,9707445,899.9150661968941,895.7459917490393,893.3841270750386,,,UP
2024-01-31,928.675048828125,949.75,971.9000244140624,936.75,938.1500244140624,7726332,904.6612503686185,897.863795994175,893.9449815320035,,,UP
2024-02-01,916.2079467773438,937.0,964.0,926.0,956.9000244140624,3463799,907.741131285893,899.3985490924426,894.3733896759637,,,UP
2024-02-02,924.470458984375,945.4500122070312,955.1500244140624,937.0,942.8499755859376,4534536,911.3324532783823,901.2044888224266,894.8816147757753,,,UP
2024-02-05,976.6854858398438,998.8499755859376,1028.0,955.0,956.5,17219410,919.6674554029114,905.0337235974663,895.9161258286127,,,UP
2024-02-06,1003.08642578125,1025.8499755859375,1033.0,990.25,1014.0499877929688,7368232,929.7800763727233,909.7716158323083,897.2089999555513,,43.09286499023434,UP
2024-02-07,1021.2735595703124,1044.449951171875,1050.0,1014.0999755859376,1031.050048828125,7354236,940.7010168297854,915.053119178958,898.6740840472562,80.6003134383817,42.08572387695308,UP
2024-02-08,1080.7244873046875,1105.25,1145.0,1071.0,1073.9000244140625,22872046,956.372348560282,922.5118203876264,900.7295657980299,85.82002755868673,46.09286934988835,UP
2024-02-09,1056.865966796875,1080.8499755859375,1175.0,1067.0,1152.0,21551992,968.2273606579636,928.7211598071681,902.5218086814916,78.54757899118702,50.95358276367183,UP
2024-02-12,999.7618408203124,1022.4500122070312,1125.0,1010.0999755859376,1112.050048828125,11741691,973.3914227102557,932.396801077751,903.7151241394572,66.18772337004515,57.946441650390575,UP
2024-02-13,989.0059204101562,1011.4500122070312,1043.300048828125,979.9500122070312,1029.75,8474155,977.0160502813773,935.4969270043895,904.787113075453,69.09167473310595,56.696446010044596,UP
2024-02-14,1046.7454833984375,1070.5,1078.5,990.0,1000.0,9358003,985.9192835879128,940.7911651610801,906.4359975224635,71.27410018067233,58.87501743861602,UP
2024-02-15,1032.6651611328125,1056.0999755859375,1086.9000244140625,1049.050048828125,1082.0,5013229,992.6031590162961,945.3130792953883,907.9251913340404,69.34093480176648,59.80715506417407,UP
2024-02-16,1016.775634765625,1039.8499755859375,1067.550048828125,1030.0999755859375,1062.0,5404201,997.1028558324524,949.0204085616845,909.2378757544574,65.58384452410647,60.45358712332586,UP
2024-02-19,1028.8515625,1052.199951171875,1092.0,1050.0,1080.0,6832181,1002.3501982457307,953.0666651346331,910.6603839675661,65.15112287958229,61.36430140904015,UP
2024-02-20,1019.0247802734376,1042.1500244140625,1056.4000244140625,1036.050048828125,1055.0,3173173,1006.1406578808098,956.5601302044147,911.9687385988746,61.94107621303657,60.03215680803569,UP
2024-02-21,1020.3990478515624,1039.550048828125,1054.75,1027.699951171875,1044.0,3929842,1009.322504637697,959.8146368171092,913.2382043723,63.60983172597919,59.25001743861605,UP
2024-02-22,1044.7911376953125,1064.4000244140625,1070.0,1032.050048828125,1041.449951171875,5132257,1014.5679827116365,963.9160245660094,914.7423020841583,65.12782147019414,60.66429792131695,UP
2024-02-23,1046.8524169921875,1066.5,1082.0,1048.050048828125,1062.050048828125,4331573,1019.5138891200521,967.9389255634209,916.252328929092,59.89469846459512,57.192866734095965,UP
2024-02-26,1021.969482421875,1041.1500244140625,1075.699951171875,1036.4000244140625,1066.5,2958776,1021.5744734337674,970.8099490477598,917.495092068246,52.24868555468282,56.946432931082576,UP
2024-02-27,1021.0369262695312,1040.199951171875,1068.0,1037.0999755859375,1044.0,3772686,1023.3483284564443,973.5311256016466,918.7160359399239,49.34118726320606,56.58929007393972,UP
2024-02-28,988.3995361328124,1006.9500122070312,1052.9000244140625,1003.7999877929688,1046.199951171875,3573062,1021.7865840517383,974.8416701744068,919.5939859525321,33.338974778395695,52.91428920200892,UP
2024-02-29,1003.9574584960938,1022.7999877929688,1027.0,997.0999755859376,1012.0,3013025,1021.8830986937602,976.7223885123897,920.6209113439793,39.86733552189309,47.33571951729909,UP
2024-03-01,1010.7303466796876,1029.699951171875,1040.949951171875,1025.0999755859375,1027.199951171875,2087742,1022.627560834533,978.7999399892323,921.7062749243564,51.5428699982361,40.4250008719308,UP
2024-03-04,1017.7977294921876,1036.9000244140625,1049.0,1021.2000122070312,1037.0,2450117,1023.9868430802026,981.078374672559,922.8524813869406,55.505089699165,37.88571166992187,UP
2024-03-05,1008.3255004882812,1027.25,1045.8499755859375,1023.9000244140624,1037.4000244140625,2024712,1024.297619929707,982.8890266461841,923.8912626666724,38.101780179260466,33.13213675362723,UP
2024-03-06,991.687744140625,1010.2999877929688,1034.949951171875,998.25,1030.0,2542290,1022.9645121071604,983.9639662989993,924.7510509763869,37.574600878469745,33.04999215262277,UP
2024-03-07,1005.920654296875,1024.800048828125,1034.0,1007.0,1012.0,1822489,1023.1393251282046,985.5653813001416,925.7465633928222,45.87786009419245,32.303558349609375,UP
2024-03-11,993.25830078125,1011.9000244140624,1045.0,1006.0499877929688,1035.0,2777683,1022.0689155363816,986.5981124026483,926.6038117611928,38.9951031864289,31.360700334821427,UP
2024-03-12,968.0808715820312,986.25,1018.9000244140624,980.5499877929688,1016.9000244140624,2878325,1018.6575902472024,986.5844609358778,927.1973061715292,35.93356723479205,32.64641898018972,UP
2024-03-13,892.9901733398438,909.75,994.9500122070312,900.0,990.4500122070312,6431249,1008.2854387950879,983.5713448207454,927.0237011349966,26.192222610315525,37.49641636439731,UP
2024-03-14,940.842041015625,958.5,962.3499755859376,901.0499877929688,910.0,4958488,1003.5439684336509,982.588154827775,927.3368981386285,32.14165584914174,39.164276123046875,UP
2024-03-15,908.1065063476562,925.1500244140624,969.7000122070312,918.9500122070312,957.0,3560100,996.0778785270234,980.3356791252766,927.3151382010707,28.436319917584413,40.36427961077009,UP
2024-03-18,887.73876953125,904.4000244140624,934.0,902.0,916.5,3765432,987.346654325789,977.357810313072,927.0871271186129,28.84110505786012,39.84285627092634,UP
2024-03-19,863.3464965820312,879.5499877929688,918.75,875.6500244140625,905.0,4240551,977.080305132187,973.5222094299307,926.6141207571638,26.854932643272534,40.714281354631694,UP
2024-03-20,850.9295654296875,866.9000244140625,894.7999877929688,865.0,885.9000244140625,4003650,966.5869450637942,969.3409472724456,926.0199506442972,28.549558862489874,39.335706438337056,SIDEWAYS
2024-03-21,885.1865844726562,901.7999877929688,909.5499877929688,877.5,882.0,6292495,960.416758657049,966.6922821948192,925.7789559890601,32.489152351822426,40.24641636439733,SIDEWAYS
2024-03-22,889.6527709960938,906.3499755859376,909.0,888.5,905.0,4895634,955.2675412217051,964.3259172297651,925.5856328009694,32.026821662517634,40.41427612304688,SIDEWAYS
2024-03-26,880.916748046875,897.4500122070312,918.0,892.2000122070312,909.0999755859376,3883441,949.7611098869743,961.7033327190696,925.3056763771491,29.781064608055587,40.27141898018974,SIDEWAYS
2024-03-27,876.0579223632812,892.5,913.0,888.9500122070312,900.9500122070312,7788410,944.3076708501196,958.9894765340081,924.9792517365804,30.19256352662059,40.421421595982146,SIDEWAYS
2024-03-28,899.2722778320312,916.1500244140624,928.0,901.75,902.6500244140624,4191452,941.6259902371618,957.3094980195004,924.8913987283962,36.42785736797288,40.33571079799107,SIDEWAYS
2024-04-01,952.7191162109376,970.5999755859376,984.4500122070312,924.0,925.0,4863536,944.3854174132357,957.8306932181843,925.3462104384215,42.993784448655845,43.28570992606028,SIDEWAYS
2024-04-02,980.0070190429688,998.4000244140624,1001.7999877929688,961.2999877929688,972.6500244140624,5922613,949.5296656990287,959.4216473827286,926.0731140600697,48.31964131927119,43.39642333984376,SIDEWAYS
2024-04-03,979.3689575195312,997.75,1016.0,990.0,995.0,4112423,954.1220784895974,960.9247200343863,926.7863169052431,51.5264137895724,42.5142778669085,SIDEWAYS
2024-04-04,988.0068359375,1006.5499877929688,1016.3499755859376,991.9500122070312,1003.7999877929688,3198816,959.115212708966,962.7139462209973,927.5799852722853,65.66343153938003,37.47498866489958,SIDEWAYS
2024-04-05,974.4610595703124,992.75,1011.5999755859376,990.0499877929688,1006.0,2430940,962.3185257843027,963.8918306829189,928.2284431302726,56.248861367196774,34.63570295061386,SIDEWAYS
2024-04-08,978.3383178710938,996.7000122070312,1007.0,993.0499877929688,998.0,1512582,965.5929530626578,965.1784260368057,928.909752275315,64.62293041142918,32.02856009347101,UP
2024-04-09,961.2098388671876,979.25,1014.9000244140624,974.2999877929688,997.2999877929688,3349559,966.8936241995475,965.7302524667349,929.4106502626253,65.50652230318661,32.642848423549125,UP
2024-04-10,958.9522094726562,976.9500122070312,989.7999877929688,974.0,982.7999877929688,2414938,967.8513754383555,966.1702430447858,929.883678739684,72.25778268241234,30.692849295479927,UP
2024-04-12,953.0626831054688,970.9500122070312,981.9500122070312,968.0,976.0,1850855,968.146483702039,966.357684972717,930.29229897319,74.52274469808235,29.560708182198677,UP
