date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2024-01-16,25089.623046875,25806.5,26305.900390625,25601.0,26220.0,51548
2024-01-17,25015.927734375,25730.69921875,26139.94921875,25546.150390625,25600.0,15925
2024-01-18,25022.5390625,25737.5,25875.0,25301.0,25749.94921875,14103
2024-01-19,25148.44140625,25867.0,25989.900390625,25690.05078125,25736.94921875,9675
2024-01-23,24773.5546875,25481.400390625,25780.0,25205.05078125,25205.05078125,15952
2024-01-24,24887.498046875,25598.599609375,25717.900390625,25240.0,25500.0,12433
2024-01-25,24364.58984375,25060.75,25746.400390625,24868.69921875,25598.599609375,27325
2024-01-29,24857.798828125,25568.05078125,25809.25,25020.349609375,25060.75,32932
2024-01-30,24800.048828125,25508.650390625,25773.69921875,25351.05078125,25602.0,13033
2024-01-31,25187.28125,25906.94921875,26249.94921875,25522.5,25544.849609375,23752
2024-02-01,25167.888671875,25887.0,26332.349609375,25701.099609375,26175.0,9535
2024-02-02,27284.705078125,28064.30078125,28280.19921875,26410.0,26410.0,103081
2024-02-05,27289.759765625,28069.5,28325.0,27701.400390625,28174.0,30098
2024-02-06,27532.330078125,28319.0,28454.599609375,27881.80078125,28069.55078125,13959
2024-02-07,27929.384765625,28727.400390625,28801.0,28203.099609375,28319.0,15152
2024-02-08,27473.31640625,28258.30078125,28847.849609375,28125.05078125,28727.400390625,16917
2024-02-09,27303.564453125,28083.69921875,28448.849609375,28020.650390625,28400.0,13645
2024-02-12,27686.71875,28477.80078125,28696.650390625,27831.05078125,28083.75,31271
2024-02-13,28082.509765625,28884.900390625,28994.0,28437.44921875,28530.44921875,12964
2024-02-14,28551.751953125,29367.55078125,29465.099609375,28551.599609375,28887.94921875,12941
2024-02-15,28373.25,29183.94921875,29400.0,29009.849609375,29367.55078125,9518
2024-02-16,28718.048828125,29538.599609375,29638.94921875,29183.94921875,29184.0,7903
2024-02-19,28706.48046875,29526.69921875,29629.80078125,29271.099609375,29538.599609375,12349
