date_,adj close_carboruniv.ns,close_carboruniv.ns,high_carboruniv.ns,low_carboruniv.ns,open_carboruniv.ns,volume_carboruniv.ns
2024-01-16,1150.4483642578125,1158.449951171875,1203.699951171875,1155.0,1188.949951171875,83583
2024-01-17,1135.055419921875,1142.949951171875,1157.25,1138.550048828125,1157.25,45747
2024-01-18,1121.946533203125,1129.75,1144.449951171875,1118.199951171875,1137.25,75275
2024-01-19,1133.0196533203125,1140.9000244140625,1148.0,1131.3499755859375,1139.8499755859375,84164
2024-01-23,1117.725830078125,1125.5,1134.5,1115.4000244140625,1134.5,31757
2024-01-24,1169.0687255859375,1177.199951171875,1218.0,1118.949951171875,1119.0,720902
2024-01-25,1141.5601806640625,1149.5,1182.800048828125,1143.5,1177.199951171875,445878
2024-01-29,1131.0830078125,1138.949951171875,1151.6500244140625,1129.5999755859375,1149.0,54274
2024-01-30,1103.2763671875,1110.949951171875,1148.0,1106.0999755859375,1139.949951171875,102034
2024-01-31,1116.8819580078125,1124.6500244140625,1145.4000244140625,1112.0,1112.0,130086
2024-02-01,1119.9603271484375,1127.75,1134.0,1113.4000244140625,1130.0,212743
2024-02-02,1107.99365234375,1115.699951171875,1140.4000244140625,1109.5,1130.0,283126
2024-02-05,1076.264404296875,1083.75,1122.800048828125,1075.0,1115.699951171875,143536
2024-02-06,1112.8597412109375,1120.5999755859375,1127.0999755859375,1087.9000244140625,1089.0,141788
2024-02-07,1129.7921142578125,1137.6500244140625,1179.0,1125.949951171875,1130.0,181870
2024-02-08,1137.5877685546875,1145.5,1152.75,1126.3499755859375,1137.949951171875,65411
2024-02-09,1125.4720458984375,1133.300048828125,1150.0,1117.5999755859375,1149.949951171875,116005
2024-02-12,1144.017822265625,1150.449951171875,1180.0,1127.75,1132.0,106960
2024-02-13,1132.4329833984375,1138.800048828125,1163.1500244140625,1132.0,1160.0,98342
2024-02-14,1108.76611328125,1115.0,1130.0,1103.3499755859375,1118.0,98009
2024-02-15,1101.954345703125,1108.1500244140625,1133.5,1100.0,1115.0,203334
2024-02-16,1108.3681640625,1114.5999755859375,1134.0,1100.25,1110.0,251961
2024-02-19,1084.154296875,1090.25,1128.1500244140625,1089.0,1114.5999755859375,147750
2024-02-20,1091.7615966796875,1097.9000244140625,1111.0,1090.25,1090.25,209958
2024-02-21,1077.0941162109375,1083.1500244140625,1105.050048828125,1072.050048828125,1101.699951171875,197047
2024-02-22,1081.419677734375,1087.5,1095.8499755859375,1080.0,1083.1500244140625,142163
2024-02-23,1084.3531494140625,1090.449951171875,1101.9000244140625,1083.0999755859375,1089.0,83917
2024-02-26,1059.64208984375,1065.5999755859375,1097.5999755859375,1060.0,1090.4000244140625,241829
2024-02-27,1031.2021484375,1037.0,1070.0,1025.5999755859375,1065.0,328127
2024-02-28,1049.797607421875,1055.699951171875,1065.8499755859375,1033.949951171875,1035.0,546526
2024-02-29,1063.321533203125,1069.300048828125,1080.0,1034.300048828125,1050.0999755859375,139223
2024-03-01,1075.5030517578125,1081.550048828125,1095.0,1067.050048828125,1079.699951171875,48402
2024-03-04,1066.2550048828125,1072.25,1094.449951171875,1055.0,1088.300048828125,473243
2024-03-05,1091.562744140625,1097.699951171875,1108.0,1068.0999755859375,1074.0,171330
2024-03-06,1052.134521484375,1058.050048828125,1095.0999755859375,1050.5999755859375,1092.699951171875,84664
2024-03-07,1059.343994140625,1065.300048828125,1087.5,1047.4000244140625,1057.050048828125,289905
2024-03-11,1063.7191162109375,1069.699951171875,1074.0,1051.5,1074.0,36029
2024-03-12,1072.519775390625,1078.550048828125,1082.75,1059.050048828125,1061.0,60745
2024-03-13,1054.918701171875,1060.8499755859375,1076.0999755859375,1045.050048828125,1076.0999755859375,307122
2024-03-14,1063.5205078125,1069.5,1094.0,1050.6500244140625,1054.449951171875,91708
2024-03-15,1090.0213623046875,1096.1500244140625,1107.0,1052.0,1052.0,94500
2024-03-18,1083.806396484375,1089.9000244140625,1114.4000244140625,1088.550048828125,1096.1500244140625,427869
2024-03-19,1104.9871826171875,1111.199951171875,1115.0,1084.4000244140625,1090.0,58289
2024-03-20,1114.43408203125,1120.699951171875,1134.25,1099.0,1111.199951171875,163883
2024-03-21,1149.03955078125,1155.5,1166.0,1131.949951171875,1131.949951171875,369538
2024-03-22,1241.9173583984375,1248.9000244140625,1259.0,1154.9000244140625,1168.0999755859375,961299
2024-03-26,1227.9957275390625,1234.9000244140625,1291.0,1221.0999755859375,1244.0,374570
2024-03-27,1241.3704833984375,1248.3499755859375,1257.5,1220.25,1222.800048828125,177783
2024-03-28,1261.258544921875,1268.3499755859375,1277.0,1229.1500244140625,1229.1500244140625,172832
2024-04-01,1291.0909423828125,1298.3499755859375,1312.0,1257.050048828125,1267.449951171875,165266
2024-04-02,1313.7137451171875,1321.0999755859375,1342.449951171875,1295.0,1298.3499755859375,242543
2024-04-03,1318.6361083984375,1326.050048828125,1359.5999755859375,1310.0,1318.949951171875,342333
2024-04-04,1281.7930908203125,1289.0,1333.75,1278.0999755859375,1331.949951171875,124787
2024-04-05,1268.0205078125,1275.1500244140625,1342.0,1251.0,1277.5999755859375,226517
2024-04-08,1245.0,1252.0,1307.199951171875,1237.0,1277.9000244140625,118088
2024-04-09,1299.6925048828125,1307.0,1319.0,1255.449951171875,1255.9000244140625,186395
2024-04-10,1267.324462890625,1274.449951171875,1309.949951171875,1267.5,1302.0,37949
2024-04-12,1242.265380859375,1249.25,1293.4000244140625,1239.699951171875,1277.050048828125,103650
2024-04-15,1241.3206787109375,1248.300048828125,1282.449951171875,1223.0,1245.0999755859375,152664
2024-04-16,1232.470458984375,1239.4000244140625,1255.8499755859375,1234.6500244140625,1248.6500244140625,37867
2024-04-18,1216.957763671875,1223.800048828125,1248.75,1217.0,1239.300048828125,53385
2024-04-19,1244.2044677734375,1251.199951171875,1262.5999755859375,1203.300048828125,1225.0,76127
2024-04-22,1279.4066162109375,1286.5999755859375,1296.800048828125,1251.25,1251.8499755859375,101127
2024-04-23,1302.4769287109375,1309.800048828125,1317.300048828125,1275.5999755859375,1293.050048828125,82692
2024-04-24,1333.6019287109375,1341.0999755859375,1349.0,1301.5999755859375,1311.0,440965
2024-04-25,1406.9395751953125,1414.8499755859375,1423.0,1338.0999755859375,1350.0,415243
2024-04-26,1432.4461669921875,1440.5,1467.699951171875,1414.8499755859375,1467.699951171875,195720
2024-04-29,1436.07568359375,1444.1500244140625,1459.949951171875,1410.0,1441.0,90521
2024-04-30,1414.3480224609375,1422.300048828125,1499.0,1411.050048828125,1435.0,152509
2024-05-02,1498.176513671875,1506.5999755859375,1550.0,1425.949951171875,1426.0,688173
2024-05-03,1433.3907470703125,1441.449951171875,1513.9000244140625,1425.0999755859375,1512.75,202104
2024-05-06,1507.7725830078125,1516.25,1545.0,1403.199951171875,1450.0,801316
2024-05-07,1486.5916748046875,1494.949951171875,1514.0,1480.1500244140625,1514.0,1124834
2024-05-08,1490.4698486328125,1498.8499755859375,1508.949951171875,1471.0,1483.300048828125,159038
2024-05-09,1459.7923583984375,1468.0,1498.75,1454.3499755859375,1493.6500244140625,118856
2024-05-10,1455.516357421875,1463.699951171875,1485.0,1443.800048828125,1447.699951171875,167211
2024-05-13,1498.3258056640625,1506.75,1523.0,1470.1500244140625,1477.0,173823
2024-05-14,1477.9901123046875,1486.300048828125,1532.300048828125,1471.3499755859375,1525.0,117379
2024-05-15,1524.92626953125,1533.5,1538.449951171875,1499.3499755859375,1501.1500244140625,124855
2024-05-16,1636.9959716796875,1646.199951171875,1715.0,1541.0,1541.199951171875,1487608
2024-05-17,1721.37158203125,1731.050048828125,1755.3499755859375,1605.800048828125,1663.199951171875,390553
2024-05-21,1677.2696533203125,1686.699951171875,1790.0,1676.199951171875,1760.050048828125,373666
2024-05-22,1728.9788818359375,1738.699951171875,1771.0,1626.4000244140625,1689.0,185628
2024-05-23,1704.76513671875,1714.3499755859375,1773.4000244140625,1688.0,1765.0,119516
2024-05-24,1643.2608642578125,1652.5,1714.949951171875,1642.0,1714.3499755859375,97013
2024-05-27,1608.95361328125,1618.0,1664.8499755859375,1609.5999755859375,1660.800048828125,77479
2024-05-28,1594.58447265625,1603.550048828125,1631.199951171875,1587.6500244140625,1618.0,61772
2024-05-29,1586.082275390625,1595.0,1618.949951171875,1589.5999755859375,1606.5,43700
2024-05-30,1581.5576171875,1590.449951171875,1645.0,1583.800048828125,1603.050048828125,207557
2024-05-31,1584.4912109375,1593.4000244140625,1631.199951171875,1570.0,1597.0,161730
2024-06-03,1665.088134765625,1674.449951171875,1695.0,1634.0,1642.5,245941
2024-06-04,1504.14306640625,1512.5999755859375,1695.0,1500.0,1690.0,136559
2024-06-05,1549.537841796875,1558.25,1579.449951171875,1510.050048828125,1530.050048828125,136421
2024-06-06,1567.984130859375,1576.800048828125,1586.949951171875,1568.4000244140625,1573.0,40506
2024-06-07,1612.981201171875,1622.050048828125,1644.949951171875,1561.0,1594.0,150861
2024-06-10,1617.3564453125,1626.449951171875,1638.9000244140625,1610.0,1636.0,57293
2024-06-11,1636.2005615234375,1645.4000244140625,1672.199951171875,1625.9000244140625,1630.0,87242
