date_,adj close_cub.ns,close_cub.ns,high_cub.ns,low_cub.ns,open_cub.ns,volume_cub.ns
2024-01-16,147.48721313476562,150.25,153.4499969482422,148.5,152.5500030517578,3188888
2024-01-17,141.5975341796875,144.25,149.0500030517578,143.39999389648438,148.0,4506573
2024-01-18,140.81224060058594,143.4499969482422,145.1999969482422,140.4499969482422,144.14999389648438,3612774
2024-01-19,141.00856018066406,143.64999389648438,145.89999389648438,142.89999389648438,145.14999389648438,2322753
2024-01-23,136.68948364257812,139.25,145.5500030517578,138.6999969482422,145.14999389648438,2938201
2024-01-24,137.0330352783203,139.60000610351562,140.75,136.75,139.0,3961629
2024-01-25,138.60362243652344,141.1999969482422,142.0,139.35000610351562,140.0,1684131
2024-01-29,140.76315307617188,143.39999389648438,144.0,141.39999389648438,141.39999389648438,2219843
2024-01-30,140.4196014404297,143.0500030517578,145.0,142.5,143.6999969482422,1508116
2024-01-31,142.23556518554688,144.89999389648438,145.60000610351562,142.75,143.0,2300996
2024-02-01,141.20489501953125,143.85000610351562,145.64999389648438,141.60000610351562,145.64999389648438,2821484
2024-02-02,134.72625732421875,137.25,145.85000610351562,136.85000610351562,142.10000610351562,14617493
2024-02-05,133.4010772705078,135.89999389648438,139.85000610351562,135.1999969482422,138.0,8703760
2024-02-06,130.40716552734375,132.85000610351562,136.85000610351562,131.85000610351562,136.85000610351562,13337011
2024-02-07,128.7384033203125,131.14999389648438,134.75,130.85000610351562,134.0,11314084
2024-02-08,130.01451110839844,132.4499969482422,135.25,131.64999389648438,132.0,7759447
2024-02-09,130.40716552734375,132.85000610351562,134.0,130.5500030517578,134.0,5669684
2024-02-12,128.3948516845703,130.8000030517578,134.60000610351562,130.39999389648438,134.5,4900768
2024-02-13,131.7323455810547,134.1999969482422,135.0,130.10000610351562,132.5500030517578,6051653
2024-02-14,133.79371643066406,136.3000030517578,136.75,132.35000610351562,133.39999389648438,3993053
2024-02-15,134.92257690429688,137.4499969482422,137.75,136.3000030517578,137.25,2880567
2024-02-16,137.2784423828125,139.85000610351562,141.1999969482422,137.8000030517578,138.4499969482422,6445331
2024-02-19,135.3152313232422,137.85000610351562,140.75,137.35000610351562,140.14999389648438,3548597
2024-02-20,133.74464416503906,136.25,138.10000610351562,135.5,138.10000610351562,4489873
2024-02-21,131.29061889648438,133.75,137.25,133.3000030517578,137.0,5292956
2024-02-22,132.66485595703125,135.14999389648438,135.5,132.9499969482422,134.0,2242286
2024-02-23,132.7139434814453,135.1999969482422,136.5,134.5,136.0500030517578,1269752
2024-02-26,132.32131958007812,134.8000030517578,136.4499969482422,134.39999389648438,135.75,2405119
2024-02-27,133.49923706054688,136.0,136.4499969482422,134.5,135.5,4644216
2024-02-28,131.24151611328125,133.6999969482422,138.5,132.9499969482422,136.10000610351562,4464297
2024-02-29,132.66485595703125,135.14999389648438,136.25,131.4499969482422,133.5,4209839
2024-03-01,135.02073669433594,137.5500030517578,137.85000610351562,135.60000610351562,135.6999969482422,2735779
2024-03-04,137.2293701171875,139.8000030517578,139.9499969482422,137.9499969482422,138.89999389648438,3800708
2024-03-05,135.02073669433594,137.5500030517578,140.25,137.1999969482422,139.60000610351562,4224029
2024-03-06,134.1372833251953,136.64999389648438,137.8000030517578,135.0,137.60000610351562,3152062
2024-03-07,134.23544311523438,136.75,137.60000610351562,136.3000030517578,137.25,1678802
2024-03-11,130.45623779296875,132.89999389648438,137.10000610351562,132.60000610351562,137.0500030517578,2958334
2024-03-12,128.68934631347656,131.10000610351562,133.75,130.8000030517578,133.0500030517578,2313273
2024-03-13,124.4684066772461,126.80000305175781,132.3000030517578,126.25,131.8000030517578,3007735
2024-03-14,127.1187515258789,129.5,130.39999389648438,125.4000015258789,127.05000305175781,3255269
2024-03-15,126.23531341552734,128.60000610351562,129.5,127.30000305175781,128.85000610351562,1827961
2024-03-18,126.08805847167969,128.4499969482422,130.39999389648438,128.10000610351562,129.8000030517578,2125228
2024-03-19,125.20462036132812,127.55000305175781,128.85000610351562,126.8499984741211,128.60000610351562,1900488
2024-03-20,126.43163299560547,128.8000030517578,129.1999969482422,126.3499984741211,128.14999389648438,2625171
2024-03-21,130.75071716308594,133.1999969482422,133.6999969482422,128.89999389648438,129.89999389648438,4093696
2024-03-22,132.9593505859375,135.4499969482422,137.60000610351562,133.0500030517578,133.0500030517578,4277665
2024-03-26,133.3520050048828,135.85000610351562,136.89999389648438,134.14999389648438,134.14999389648438,1983300
2024-03-27,133.05752563476562,135.5500030517578,137.0,135.0,136.0,3539318
2024-03-28,132.66485595703125,135.14999389648438,138.0500030517578,134.6999969482422,135.60000610351562,2859127
2024-04-01,137.2784423828125,139.85000610351562,140.60000610351562,136.3000030517578,136.5,4454319
2024-04-02,142.0883331298828,144.75,145.0,139.85000610351562,140.1999969482422,6213002
2024-04-03,146.99639892578125,149.75,150.5,143.39999389648438,144.0,8822438
2024-04-04,151.1682586669922,154.0,158.14999389648438,150.5,151.10000610351562,16202794
2024-04-05,154.8492889404297,157.75,158.8000030517578,152.5,154.89999389648438,12126632
2024-04-08,151.80630493164062,154.64999389648438,158.0500030517578,152.0,157.75,5467389
2024-04-09,153.42596435546875,156.3000030517578,157.3000030517578,154.39999389648438,154.64999389648438,5688622
2024-04-10,156.4689483642578,159.39999389648438,160.10000610351562,154.75,155.9499969482422,5742002
2024-04-12,152.88607788085938,155.75,159.0,155.0500030517578,158.0,2912973
2024-04-15,152.19895935058594,155.0500030517578,156.60000610351562,150.89999389648438,151.75,4030082
2024-04-16,150.38294982910156,153.1999969482422,155.0,151.1999969482422,153.89999389648438,2236724
2024-04-18,149.9412384033203,152.75,156.60000610351562,152.1999969482422,153.25,2010614
2024-04-19,151.56088256835938,154.39999389648438,155.4499969482422,149.5,149.5,4600018
2024-04-22,153.818603515625,156.6999969482422,157.1999969482422,155.0500030517578,156.0,3968026
2024-04-23,152.98423767089844,155.85000610351562,157.89999389648438,154.4499969482422,157.89999389648438,2011131
2024-04-24,152.6406707763672,155.5,157.14999389648438,155.0,156.25,2086097
2024-04-25,154.2112579345703,157.10000610351562,157.8000030517578,155.5,156.5,2415940
2024-04-26,157.30332946777344,160.25,162.60000610351562,156.89999389648438,157.64999389648438,6661835
2024-04-29,155.9781494140625,158.89999389648438,163.0,158.5,163.0,4841524
2024-04-30,157.74505615234375,160.6999969482422,163.75,159.0,159.0,4858754
2024-05-02,159.1683807373047,162.14999389648438,162.64999389648438,158.85000610351562,161.89999389648438,4009958
2024-05-03,158.13771057128906,161.10000610351562,163.0,159.60000610351562,163.0,3034824
2024-05-06,156.86160278320312,159.8000030517578,163.39999389648438,158.85000610351562,161.0,4264955
2024-05-07,151.51182556152344,154.35000610351562,160.5500030517578,152.75,159.60000610351562,4934728
2024-05-08,150.38294982910156,153.1999969482422,156.1999969482422,153.0,154.0500030517578,1648267
2024-05-09,143.21719360351562,145.89999389648438,153.85000610351562,144.75,152.5500030517578,2090764
2024-05-10,147.1436309814453,149.89999389648438,150.3000030517578,145.0500030517578,146.3000030517578,2301726
2024-05-13,147.3890380859375,150.14999389648438,152.0500030517578,146.6999969482422,149.9499969482422,1323650
2024-05-14,151.85537719726562,154.6999969482422,155.0,150.1999969482422,150.3000030517578,1760192
2024-05-15,150.2357177734375,153.0500030517578,155.4499969482422,152.3000030517578,154.9499969482422,703716
2024-05-16,151.07008361816406,153.89999389648438,154.64999389648438,151.25,154.4499969482422,809995
2024-05-17,149.0577850341797,151.85000610351562,154.8000030517578,151.5,154.0500030517578,983286
2024-05-21,142.333740234375,145.0,151.89999389648438,143.0,151.89999389648438,13673674
2024-05-22,141.25396728515625,143.89999389648438,146.4499969482422,143.6999969482422,146.0,3711841
2024-05-23,141.40121459960938,144.0500030517578,145.0,142.85000610351562,144.0,2644538
2024-05-24,142.18650817871094,144.85000610351562,145.9499969482422,143.39999389648438,144.3000030517578,7432106
2024-05-27,141.8429412841797,144.5,146.39999389648438,144.0,145.3000030517578,3389187
2024-05-28,141.5484619140625,144.1999969482422,145.5,143.0,144.8000030517578,2197572
2024-05-29,139.63430786132812,142.25,143.85000610351562,141.85000610351562,143.5,2334972
