date_,adj close_kalyankjil.ns,close_kalyankjil.ns,high_kalyankjil.ns,low_kalyankjil.ns,open_kalyankjil.ns,volume_kalyankjil.ns
2024-01-16,366.00616455078125,367.8999938964844,386.20001220703125,363.29998779296875,386.20001220703125,2463512
2024-01-17,360.2857666015625,362.1499938964844,375.8999938964844,357.29998779296875,365.29998779296875,2670645
2024-01-18,360.0867919921875,361.95001220703125,367.95001220703125,352.20001220703125,363.0,1550854
2024-01-19,362.72314453125,364.6000061035156,370.25,362.54998779296875,365.1499938964844,1391457
2024-01-23,350.3372497558594,352.1499938964844,363.3500061035156,343.0,363.3500061035156,2550212
2024-01-24,359.63909912109375,361.5,365.0,351.25,353.1499938964844,2124510
2024-01-25,353.1228332519531,354.95001220703125,366.20001220703125,354.0,361.54998779296875,930473
2024-01-29,353.1228332519531,354.95001220703125,359.29998779296875,350.1000061035156,356.0,1462470
2024-01-30,365.50872802734375,367.3999938964844,370.25,358.20001220703125,361.3500061035156,2508283
2024-01-31,348.3973083496094,350.20001220703125,379.20001220703125,347.75,368.0,7522247
2024-02-01,332.3304138183594,334.04998779296875,360.0,321.95001220703125,358.5,6299102
2024-02-02,346.109130859375,347.8999938964844,351.8999938964844,336.1499938964844,336.1499938964844,7042693
2024-02-05,338.1005554199219,339.8500061035156,349.54998779296875,336.29998779296875,348.95001220703125,2074851
2024-02-06,328.30126953125,330.0,344.8500061035156,329.1499938964844,342.45001220703125,2308551
2024-02-07,335.51397705078125,337.25,342.3999938964844,329.25,331.70001220703125,6414327
2024-02-08,350.2377624511719,352.04998779296875,368.70001220703125,343.75,350.0,17258388
2024-02-09,356.107421875,357.95001220703125,362.0,345.0,357.1499938964844,5257247
2024-02-12,362.0267639160156,363.8999938964844,366.25,351.20001220703125,358.3999938964844,5777513
2024-02-13,364.6133728027344,366.5,369.79998779296875,354.1000061035156,366.0,2719522
2024-02-14,362.3749694824219,364.25,368.6000061035156,356.70001220703125,362.0,1901847
2024-02-15,389.6339111328125,391.6499938964844,409.70001220703125,362.5,362.5,6344879
2024-02-16,382.6202392578125,384.6000061035156,390.0,382.04998779296875,388.95001220703125,1641450
2024-02-19,372.2239685058594,374.1499938964844,388.3999938964844,372.1000061035156,384.45001220703125,1973586
2024-02-20,362.67340087890625,364.54998779296875,376.0,363.0,374.79998779296875,1869396
2024-02-21,374.31317138671875,376.25,388.0,364.54998779296875,364.54998779296875,3400773
2024-02-22,381.8740539550781,383.8500061035156,385.70001220703125,375.0,379.70001220703125,1697046
2024-02-23,382.6699523925781,384.6499938964844,387.79998779296875,380.0,384.0,1181055
2024-02-26,377.397216796875,379.3500061035156,387.5,377.0,384.0,1061251
2024-02-27,368.5928039550781,370.5,383.1000061035156,366.25,376.25,918920
2024-02-28,376.5516357421875,378.5,390.0,368.1000061035156,371.0,2389486
2024-02-29,394.8071594238281,396.8500061035156,398.6000061035156,370.29998779296875,378.54998779296875,7149833
2024-03-01,397.3937683105469,399.45001220703125,409.70001220703125,385.70001220703125,398.6000061035156,4913833
2024-03-04,406.8448791503906,408.95001220703125,414.3500061035156,402.25,414.0,1706642
2024-03-05,401.1742248535156,403.25,413.0,398.29998779296875,410.0,1993796
2024-03-06,403.5618591308594,405.6499938964844,409.8999938964844,391.70001220703125,405.0,1650504
2024-03-07,407.34228515625,409.45001220703125,412.3999938964844,405.04998779296875,409.25,1056298
2024-03-11,394.2599792480469,396.29998779296875,419.0,393.5,409.45001220703125,1842870
2024-03-12,379.5361633300781,381.5,401.95001220703125,377.04998779296875,397.1000061035156,1360992
2024-03-13,388.0918884277344,390.1000061035156,406.0,352.1499938964844,381.5,3899830
2024-03-14,383.81402587890625,385.79998779296875,391.6499938964844,375.6000061035156,385.0,1275548
2024-03-15,368.1451110839844,370.04998779296875,391.5,364.5,384.0,4403727
2024-03-18,371.1794128417969,373.1000061035156,397.0,370.0,371.0,1852436
2024-03-19,364.9118347167969,366.79998779296875,375.5,365.0,375.0,689243
2024-03-20,365.85693359375,367.75,370.8999938964844,357.3999938964844,366.79998779296875,1290666
2024-03-21,376.3028869628906,378.25,380.0,370.95001220703125,375.0,901194
2024-03-22,383.2171325683594,385.20001220703125,387.8500061035156,378.25,383.75,870215
2024-03-26,398.78656005859375,400.8500061035156,409.95001220703125,384.29998779296875,390.0,3966704
2024-03-27,413.012939453125,415.1499938964844,418.0,393.6000061035156,400.8500061035156,4455320
2024-03-28,425.59783935546875,427.79998779296875,439.0,416.29998779296875,420.75,4223254
2024-04-01,423.7076110839844,425.8999938964844,449.70001220703125,419.6499938964844,437.95001220703125,3144784
