date_,adj close_m&m.ns,close_m&m.ns,high_m&m.ns,low_m&m.ns,open_m&m.ns,volume_m&m.ns
2024-01-16,1595.75146484375,1620.3499755859375,1640.0,1617.550048828125,1638.0,2236688
2024-01-17,1573.4453125,1597.699951171875,1615.0,1591.0,1612.0,2548169
2024-01-18,1592.6986083984375,1617.25,1623.300048828125,1580.6500244140625,1600.0,2328588
2024-01-19,1630.417236328125,1655.550048828125,1659.0,1622.25,1624.949951171875,2836976
2024-01-23,1570.9833984375,1595.199951171875,1647.5999755859375,1588.25,1619.0,2772880
2024-01-24,1603.3837890625,1628.0999755859375,1632.300048828125,1575.0,1595.0,2543323
2024-01-25,1610.6715087890625,1635.5,1642.75,1603.9000244140625,1631.5999755859375,2038472
2024-01-29,1615.103271484375,1640.0,1645.0,1625.0,1635.5,3075670
2024-01-30,1595.75146484375,1620.3499755859375,1659.5,1614.449951171875,1649.949951171875,2569098
2024-01-31,1626.4779052734375,1651.550048828125,1658.300048828125,1609.050048828125,1615.050048828125,3154787
2024-02-01,1626.0841064453125,1651.1500244140625,1702.5999755859375,1645.550048828125,1659.25,4065784
2024-02-02,1635.538330078125,1660.75,1687.050048828125,1650.0,1655.0,3304158
2024-02-05,1677.6884765625,1703.550048828125,1712.8499755859375,1665.0999755859375,1676.699951171875,3525423
2024-02-06,1701.4227294921875,1727.6500244140625,1730.0,1706.0,1710.949951171875,2219874
2024-02-07,1694.87353515625,1721.0,1752.0,1715.699951171875,1731.449951171875,1213661
2024-02-08,1660.3065185546875,1685.9000244140625,1743.9000244140625,1675.550048828125,1729.0,2550690
2024-02-09,1621.4061279296875,1646.4000244140625,1689.75,1628.0,1686.0,2033950
2024-02-12,1635.24267578125,1660.449951171875,1675.050048828125,1640.550048828125,1654.0,1197925
2024-02-13,1621.7508544921875,1646.75,1679.4000244140625,1623.449951171875,1670.0,2075130
2024-02-14,1631.8944091796875,1657.050048828125,1679.6500244140625,1623.9000244140625,1631.0,4368695
2024-02-15,1738.2548828125,1765.050048828125,1784.9000244140625,1668.0999755859375,1681.050048828125,9887134
2024-02-16,1807.6846923828125,1835.550048828125,1864.6500244140625,1776.8499755859375,1788.0,7188957
2024-02-19,1820.4873046875,1848.550048828125,1856.449951171875,1820.0,1836.050048828125,2682236
2024-02-20,1825.5098876953125,1853.6500244140625,1860.0,1820.5,1837.4000244140625,1830562
2024-02-21,1831.418701171875,1859.6500244140625,1889.699951171875,1846.699951171875,1849.9000244140625,4466234
