date_,adj close_pageind.ns,close_pageind.ns,high_pageind.ns,low_pageind.ns,open_pageind.ns,volume_pageind.ns
2024-01-16,37013.66796875,38261.25,39757.94921875,37553.25,37656.0,116700
2024-01-17,36464.3828125,37693.44921875,38402.0,37384.6484375,38190.05078125,31387
2024-01-18,36498.48046875,37728.69921875,37868.75,37000.1015625,37693.44921875,22226
2024-01-19,36426.31640625,37654.1015625,37997.75,37500.0,37850.0,15793
2024-01-23,35443.4921875,36638.1484375,37746.6015625,36501.19921875,37683.0,20653
2024-01-24,35370.546875,36562.75,36827.0,36195.8984375,36827.0,20087
2024-01-25,35514.05859375,36711.1015625,36794.6484375,36238.6015625,36674.94921875,19971
2024-01-29,36408.03125,37635.19921875,37911.0,36425.75,36711.1015625,41350
2024-01-30,35767.61328125,36973.19921875,37748.94921875,36900.1015625,37635.55078125,10673
2024-01-31,36097.40234375,37314.1015625,37400.30078125,36876.55078125,36950.19921875,12384
2024-02-01,35807.13671875,37014.05078125,37400.0,36916.1015625,37400.0,9175
2024-02-02,35773.8125,36979.6015625,37293.1015625,36832.55078125,37019.0,13261
2024-02-05,35563.203125,36761.8984375,37373.94921875,36601.0,36999.94921875,28954
2024-02-06,35169.76953125,36355.19921875,37006.8984375,36200.0,36710.1015625,11669
2024-02-07,35091.3125,36274.1015625,36588.05078125,36071.0,36375.0,18958
2024-02-08,35542.75,36740.75,37369.80078125,35900.0,36398.94921875,37263
2024-02-09,35120.3828125,36304.1484375,36950.0,35860.69921875,36740.0,29638
2024-02-12,34943.9765625,36121.80078125,36500.0,35700.0,36500.0,53638
2024-02-13,34844.96875,36019.44921875,36479.80078125,35931.05078125,36479.80078125,15073
2024-02-14,34888.88671875,36064.8515625,36200.0,35691.8984375,35929.0,17194
2024-02-15,35119.75,36303.5,36441.6015625,36014.05078125,36149.8515625,14676
2024-02-16,35253.86328125,36341.75,36520.0,36100.0,36266.6484375,8824
2024-02-19,35569.57421875,36667.19921875,36932.80078125,36302.0,36350.0,23174
2024-02-20,35351.84375,36442.75,36679.44921875,36211.30078125,36500.0,25209
2024-02-21,35230.828125,36318.0,36649.8984375,36150.0,36490.0,10082
2024-02-22,35013.96484375,36094.44921875,36364.94921875,36002.5,36350.0,12618
2024-02-23,35020.2734375,36100.94921875,36439.69921875,35886.5,36300.0,17372
2024-02-26,34965.99609375,36045.0,36429.8515625,35654.8984375,36315.0,63712
2024-02-27,34607.84765625,35675.80078125,36180.0,35501.25,36145.0,19676
2024-02-28,33420.05859375,34451.3515625,35859.0,34210.05078125,35859.0,33933
2024-02-29,33282.50390625,34309.55078125,34598.0,33965.25,34451.3515625,30275
2024-03-01,34541.44921875,35607.3515625,35790.0,34300.0,34500.0,36312
2024-03-04,34407.3359375,35469.1015625,35700.0,35125.05078125,35700.0,42027
2024-03-05,34624.5859375,35693.05078125,35750.0,35300.0,35588.0,15404
2024-03-06,34640.5390625,35709.5,35750.0,35381.25,35430.05078125,15679
2024-03-07,34796.86328125,35870.6484375,35908.3984375,35419.0,35660.0,15330
2024-03-11,34789.6875,35863.25,36122.0,35692.80078125,36000.0,41083
2024-03-12,34089.49609375,35141.44921875,35949.94921875,34992.25,35863.25,17436
2024-03-13,33013.015625,34031.75,35322.30078125,33850.0,35147.0,32802
2024-03-14,33355.828125,34385.1484375,34599.0,33609.8984375,34049.94921875,26692
2024-03-15,33623.71875,34661.30078125,35089.8984375,34125.05078125,34300.0,62735
2024-03-18,33775.3359375,34817.6015625,35999.0,34550.05078125,35000.0,36689
2024-03-19,33014.078125,34032.8515625,34799.3515625,33907.25,34799.3515625,19126
2024-03-20,32239.00390625,33233.8515625,34290.0,33070.05078125,34000.0,20288
2024-03-21,33072.28515625,34092.8515625,34170.0,33273.1015625,33620.0,34652
2024-03-22,33418.6015625,34449.8515625,34522.6015625,33910.0,34030.0,21285
2024-03-26,33573.46875,34609.5,34762.05078125,34201.1015625,34201.1015625,27021
2024-03-27,33409.0,34439.94921875,34766.1484375,34366.0,34600.0,26399
2024-03-28,33419.6640625,34450.94921875,34600.0,34100.0,34469.44921875,30442
2024-04-01,33685.2734375,34724.75,34825.0,34300.0,34580.0,26588
2024-04-02,33917.25390625,34963.8984375,35332.1015625,34532.05078125,34950.0,29919
