date_,adj close_ultracemco.ns,close_ultracemco.ns,high_ultracemco.ns,low_ultracemco.ns,open_ultracemco.ns,volume_ultracemco.ns
2024-01-16,9848.3994140625,9969.599609375,10046.7998046875,9880.349609375,9953.9501953125,146779
2024-01-17,9734.84765625,9854.650390625,10046.099609375,9825.0,9959.0,252817
2024-01-18,9771.990234375,9892.25,9933.0498046875,9770.0,9854.0,278338
2024-01-19,9970.9912109375,10093.7001953125,10128.7001953125,9845.0,9999.0,567616
2024-01-23,9711.484375,9831.0,10085.0,9815.0,10000.0,580285
2024-01-24,9869.0458984375,9990.5,10032.599609375,9734.599609375,9865.0,272419
2024-01-25,9848.15234375,9969.349609375,10048.2001953125,9881.2001953125,9984.599609375,296269
2024-01-29,10149.1494140625,10274.0498046875,10300.0,9989.5,10000.099609375,334463
2024-01-30,9842.47265625,9963.599609375,10320.0,9942.0,10289.75,368827
2024-01-31,10043.74609375,10167.349609375,10186.150390625,9903.150390625,9960.0,341574
2024-02-01,9801.6748046875,9922.2998046875,10233.25,9900.0498046875,10169.9501953125,401503
2024-02-02,9975.7822265625,10098.5498046875,10165.900390625,9992.2998046875,10000.0,334386
2024-02-05,9795.796875,9916.349609375,10128.2998046875,9878.4501953125,10050.0,162473
2024-02-06,9926.587890625,10048.75,10075.0,9920.2998046875,9980.0,250870
2024-02-07,10102.1767578125,10226.5,10287.599609375,10080.2998046875,10114.0,250184
2024-02-08,9876.109375,9997.650390625,10295.0,9950.5,10290.0,320905
2024-02-09,9824.83984375,9945.75,10074.7998046875,9852.0,10074.7998046875,400823
2024-02-12,9842.7197265625,9963.849609375,10017.4501953125,9906.900390625,9951.0,191687
2024-02-13,9732.625,9852.400390625,10004.7001953125,9830.599609375,9997.7998046875,276453
2024-02-14,9668.8095703125,9787.7998046875,9824.849609375,9703.9501953125,9802.0498046875,417802
2024-02-15,9694.9873046875,9814.2998046875,9839.150390625,9706.0,9835.900390625,415090
2024-02-16,9795.6494140625,9916.2001953125,9948.0,9851.099609375,9875.0498046875,250550
2024-02-19,9781.8193359375,9902.2001953125,9948.9501953125,9885.0,9948.9501953125,109778
2024-02-20,9857.63671875,9978.9501953125,10000.0,9855.0,9902.2001953125,320905
2024-02-21,9847.21484375,9968.400390625,10115.0,9920.0,9970.25,322960
2024-02-22,9840.1025390625,9961.2001953125,10020.900390625,9802.2998046875,10000.0,363840
2024-02-23,9879.3203125,10000.900390625,10028.0,9894.0498046875,9961.2001953125,304238
2024-02-26,9809.330078125,9930.0498046875,10049.9501953125,9900.9501953125,9999.0498046875,162530
2024-02-27,9830.1240234375,9951.099609375,10151.0,9881.4501953125,9930.0498046875,214186
2024-02-28,9685.7509765625,9804.9501953125,9989.9501953125,9780.900390625,9960.0,300668
2024-02-29,9772.1396484375,9892.400390625,9935.0,9705.650390625,9785.0,328848
2024-03-01,10012.283203125,10135.5,10183.849609375,9892.400390625,9900.0,352952
2024-03-04,9857.0927734375,9978.400390625,10166.0,9966.2001953125,10157.0,221282
2024-03-05,9718.7451171875,9838.349609375,10030.900390625,9830.0,9978.400390625,310715
2024-03-06,9523.84375,9641.0498046875,9914.25,9532.0,9899.900390625,534825
2024-03-07,9555.5537109375,9673.150390625,9715.0,9569.099609375,9641.0498046875,585012
2024-03-11,9580.00390625,9697.900390625,9824.599609375,9672.900390625,9694.0498046875,319303
2024-03-12,9498.6044921875,9615.5,9728.9501953125,9575.400390625,9728.9501953125,235430
2024-03-13,9476.921875,9593.5498046875,9653.0,9500.0,9624.7001953125,415925
2024-03-14,9579.064453125,9696.9501953125,9708.0,9454.0,9455.0,347822
2024-03-15,9515.8427734375,9632.9501953125,9750.900390625,9543.7998046875,9680.0,379648
2024-03-18,9494.5048828125,9611.349609375,9673.7998046875,9570.0,9625.0,226448
2024-03-19,9338.3271484375,9453.25,9607.4501953125,9435.150390625,9591.349609375,316008
2024-03-20,9369.2470703125,9484.5498046875,9535.0,9445.0,9535.0,171219
2024-03-21,9484.0341796875,9600.75,9639.7001953125,9504.900390625,9525.0,215837
2024-03-22,9564.048828125,9681.75,9751.7998046875,9580.0,9610.0,224511
2024-03-26,9483.984375,9600.7001953125,9689.7998046875,9570.0,9631.099609375,397803
2024-03-27,9506.4580078125,9623.4501953125,9708.0,9571.0498046875,9630.0,267937
2024-03-28,9630.6298828125,9749.150390625,9853.9501953125,9641.5498046875,9680.0,506387
2024-04-01,9833.384765625,9954.400390625,9997.0498046875,9749.150390625,9749.150390625,387442
2024-04-02,9916.1171875,10038.150390625,10084.2001953125,9845.0,9890.099609375,307109
2024-04-03,9880.3076171875,10001.900390625,10277.7001953125,9982.150390625,10200.0,481855
2024-04-04,9883.4677734375,10005.099609375,10078.900390625,9900.0,10078.0,346378
2024-04-05,9704.1748046875,9823.599609375,10019.849609375,9802.2001953125,10001.0,280079
2024-04-08,9743.8359375,9863.75,9899.0,9801.0,9852.9501953125,215228
2024-04-09,9650.3876953125,9769.150390625,9993.7998046875,9759.099609375,9900.0,275924
2024-04-10,9698.4951171875,9817.849609375,9858.0,9705.0498046875,9810.0,186223
2024-04-12,9535.2041015625,9652.5498046875,9850.0,9610.0,9789.9501953125,440963
2024-04-15,9390.68359375,9506.25,9617.900390625,9486.599609375,9617.900390625,220692
2024-04-16,9348.7490234375,9463.7998046875,9494.9501953125,9351.0,9448.900390625,547648
2024-04-18,9268.68359375,9382.75,9526.7998046875,9340.7998046875,9470.0,584270
2024-04-19,9250.11328125,9363.9501953125,9400.0,9250.0,9325.0,415558
2024-04-22,9448.96484375,9565.25,9590.0,9456.099609375,9505.0,277781
2024-04-23,9417.6513671875,9533.5498046875,9625.0,9522.0,9540.0,317450
2024-04-24,9541.4267578125,9658.849609375,9686.7998046875,9542.7998046875,9578.0,317929
2024-04-25,9566.025390625,9683.75,9706.0,9560.0498046875,9620.150390625,398260
2024-04-26,9582.9677734375,9700.900390625,9777.0,9646.900390625,9727.0,265782
2024-04-29,9843.3134765625,9964.4501953125,10011.0,9743.0498046875,9765.0,808505
2024-04-30,9850.6220703125,9971.849609375,10180.0,9911.349609375,10160.2998046875,777837
2024-05-02,9862.08203125,9983.4501953125,10045.0,9946.5,9971.849609375,318855
2024-05-03,9696.9638671875,9816.2998046875,10030.0,9779.349609375,9982.0,517348
2024-05-06,9658.04296875,9776.900390625,9929.0,9746.150390625,9875.0,238521
2024-05-07,9564.69140625,9682.400390625,9948.0,9630.0,9799.0,214305
2024-05-08,9403.6728515625,9519.400390625,9674.9501953125,9501.400390625,9674.9501953125,392065
2024-05-09,9331.263671875,9446.099609375,9560.0,9408.0498046875,9524.0,328724
2024-05-10,9376.3095703125,9491.7001953125,9518.9501953125,9416.0498046875,9462.7998046875,205200
2024-05-13,9435.3818359375,9551.5,9578.0,9427.099609375,9515.9501953125,215387
